X1,subid,list,game.order,trial.num,word,leftpic,rightpic,game,trial.type,leftpic.type,rightpic.type,side.chosen,pic.chosen,response,date,timestamp,rt,gender,age,language,response_numeric,log_rt,m_log_rt,sd_log_rt,reason_removed
1465,4,2,3,121,cat_pos,cat_inhib,cat_pos,inhibition,control,distractor,target,R,cat_pos,Y,2/19/2019,12:52:00,4.497,M,25,English,1,1.5034105077885702,-0.30343137515179,0.375638819900667,bad_rt
1544,4,2,3,44,cat_implic,cat_implic,cat_control,implicature,implicature,target,distractor,R,cat_control,N,2/19/2019,12:52:00,3.189,M,25,English,0,1.1597073880279205,-0.30343137515179,0.375638819900667,bad_rt
1555,4,2,3,55,teddybear_implic,teddybear_implic,teddybear_control,implicature,implicature,target,distractor,L,teddybear_implic,Y,2/19/2019,12:52:00,8.681,M,25,English,1,2.161136729409671,-0.30343137515179,0.375638819900667,bad_rt
1556,4,2,3,56,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,2/19/2019,12:52:00,5.721,M,25,English,1,1.7441436152863916,-0.30343137515179,0.375638819900667,bad_rt
2296,6,1,1,6,teddybear_implic,teddybear_implic,teddybear_control,implicature,implicature,target,distractor,L,teddybear_implic,Y,2/20/2019,04:02:00,2.339,F,25,english,1,0.849723487602042,-0.30343137515179,0.375638819900667,bad_rt
3197,9,1,2,81,dog_control,dog_foil,dog_control,implicature,unambiguous,distractor,target,R,dog_control,Y,2/19/2019,16:50:00,2.58,F,45,English,1,0.9477893989335261,-0.30343137515179,0.375638819900667,bad_rt
3510,9,1,2,30,cookie_neg,cookie_neg,cookie_pos,negation,negative,target,distractor,L,cookie_neg,Y,2/19/2019,16:50:00,3.351,F,45,English,1,1.2092588087551734,-0.30343137515179,0.375638819900667,bad_rt
3993,11,2,1,1,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,2/19/2019,11:08:00,3.74,NA,35,english,1,1.3190856114264407,-0.30343137515179,0.375638819900667,bad_rt
3994,11,2,1,2,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,L,cup_inhib,N,2/19/2019,11:08:00,2.753,NA,35,english,0,1.0126912261604704,-0.30343137515179,0.375638819900667,bad_rt
4128,11,2,1,136,bicycle_pos,bicycle_pos,bicycle_inhib,inhibition,control,target,distractor,R,bicycle_inhib,N,2/19/2019,11:08:00,0.217,NA,35,english,0,-1.5278579254416775,-0.30343137515179,0.375638819900667,bad_rt
4137,11,2,1,145,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,L,cup_inhib,N,2/19/2019,11:08:00,3.202,NA,35,english,0,1.1637756145745228,-0.30343137515179,0.375638819900667,bad_rt
4184,11,2,1,33,bird_neg,bird_pos,bird_neg,negation,negative,distractor,target,L,bird_pos,N,2/19/2019,11:08:00,5.599,NA,35,english,0,1.7225880103667564,-0.30343137515179,0.375638819900667,bad_rt
4268,11,2,1,118,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,2/19/2019,11:08:00,5.129,NA,35,english,1,1.6349107084071313,-0.30343137515179,0.375638819900667,bad_rt
4315,11,2,1,84,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,L,banana_control,N,2/19/2019,11:08:00,8.072,NA,35,english,0,2.088401283051308,-0.30343137515179,0.375638819900667,bad_rt
4327,11,2,1,96,cup_implic,cup_implic,cup_control,implicature,implicature,target,distractor,L,cup_implic,Y,2/19/2019,11:08:00,0.211,NA,35,english,1,-1.5558971455060706,-0.30343137515179,0.375638819900667,bad_rt
4617,12,1,1,69,bird_pos,bird_neg,bird_pos,negation,positive,distractor,target,R,bird_pos,Y,2/15/2019,13:14:00,2.34,M,35,English,1,0.85015092936961,-0.30343137515179,0.375638819900667,bad_rt
4792,13,2,4,89,cookie_neg,cookie_pos,cookie_neg,negation,negative,distractor,target,L,cookie_pos,N,2/15/2019,13:20:00,0.238,M,35,English,0,-1.4354846053106625,-0.30343137515179,0.375638819900667,bad_rt
5188,14,2,6,1,cookie_neg,cookie_neg,cookie_pos,negation,negative,target,distractor,L,cookie_neg,Y,2/19/2019,12:39:00,2.494,M,45,English,1,0.9138878472578448,-0.30343137515179,0.375638819900667,bad_rt
5308,14,2,6,1,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,2/19/2019,12:39:00,2.373,M,45,English,1,0.8641549774536266,-0.30343137515179,0.375638819900667,bad_rt
5311,14,2,6,4,teddybear_implic,teddybear_implic,teddybear_control,implicature,implicature,target,distractor,L,teddybear_implic,Y,2/19/2019,12:39:00,2.922,M,45,English,1,1.0722683133285078,-0.30343137515179,0.375638819900667,bad_rt
5312,14,2,6,5,bird_control,bird_control,bird_foil,implicature,unambiguous,target,distractor,L,bird_control,Y,2/19/2019,12:39:00,2.676,M,45,English,1,0.984323142265982,-0.30343137515179,0.375638819900667,bad_rt
5410,14,2,6,103,car_implic,car_implic,car_control,implicature,implicature,target,distractor,L,car_implic,Y,2/19/2019,12:39:00,2.57,M,45,English,1,0.9439058989071284,-0.30343137515179,0.375638819900667,bad_rt
5460,14,2,6,33,cat_pos,cat_pos,cat_inhib,inhibition,control,target,distractor,L,cat_pos,Y,2/19/2019,12:39:00,2.668,M,45,English,1,0.9813291280533774,-0.30343137515179,0.375638819900667,bad_rt
5466,14,2,6,39,bicycle_pos,bicycle_pos,bicycle_inhib,inhibition,control,target,distractor,L,bicycle_pos,Y,2/19/2019,12:39:00,3.937,M,45,English,1,1.3704190119616004,-0.30343137515179,0.375638819900667,bad_rt
6528,17,2,5,36,car_neg,car_pos,car_neg,negation,negative,distractor,target,R,car_neg,Y,2/19/2019,18:47:00,2.475,F,65,English,1,0.9062403960206536,-0.30343137515179,0.375638819900667,bad_rt
6787,18,2,4,108,bicycle_neg,bicycle_pos,bicycle_neg,negation,negative,distractor,target,R,bicycle_neg,Y,2/19/2019,16:07:00,3.34,M,35,english,1,1.205970806988609,-0.30343137515179,0.375638819900667,bad_rt
6788,18,2,4,109,cup_neg,cup_neg,cup_pos,negation,negative,target,distractor,L,cup_neg,Y,2/19/2019,16:07:00,3.779,M,35,english,1,1.3294594243673519,-0.30343137515179,0.375638819900667,bad_rt
6790,18,2,4,111,banana_neg,banana_neg,banana_pos,negation,negative,target,distractor,L,banana_neg,Y,2/19/2019,16:07:00,3.347,M,35,english,1,1.2080644222291896,-0.30343137515179,0.375638819900667,bad_rt
6793,18,2,4,114,car_neg,car_pos,car_neg,negation,negative,distractor,target,R,car_neg,Y,2/19/2019,16:07:00,5.004,M,35,english,1,1.6102375926046646,-0.30343137515179,0.375638819900667,bad_rt
6794,18,2,4,115,lamp_pos,lamp_neg,lamp_pos,negation,positive,distractor,target,L,lamp_neg,N,2/19/2019,16:07:00,4.136,M,35,english,0,1.419729137206128,-0.30343137515179,0.375638819900667,bad_rt
6963,18,2,4,71,apple_pos,apple_pos,apple_inhib,inhibition,control,target,distractor,L,apple_pos,Y,2/19/2019,16:07:00,2.716,M,35,english,1,0.9991602096964498,-0.30343137515179,0.375638819900667,bad_rt
7097,18,2,4,1,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,R,cat_foil,N,2/19/2019,16:07:00,3.221,M,35,english,0,1.1696918703490617,-0.30343137515179,0.375638819900667,bad_rt
7561,20,1,5,2,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,2/19/2019,13:40:00,5.901,M,35,English,1,1.7751218280750316,-0.30343137515179,0.375638819900667,bad_rt
7582,20,1,5,23,cup_implic,cup_control,cup_implic,implicature,implicature,distractor,target,R,cup_implic,Y,2/19/2019,13:40:00,3.442,M,35,English,1,1.2360526977893478,-0.30343137515179,0.375638819900667,bad_rt
7639,20,1,5,80,bicycle_implic,bicycle_implic,bicycle_control,implicature,implicature,target,distractor,R,bicycle_control,N,2/19/2019,13:40:00,3.02,M,35,English,0,1.1052568313867783,-0.30343137515179,0.375638819900667,bad_rt
7649,20,1,5,90,flower_implic,flower_control,flower_implic,implicature,implicature,distractor,target,R,flower_implic,Y,2/19/2019,13:40:00,2.588,M,35,English,1,0.9508853766386541,-0.30343137515179,0.375638819900667,bad_rt
7924,21,1,3,89,banana_pos,banana_pos,banana_inhib,inhibition,control,target,distractor,L,banana_pos,Y,2/19/2019,19:01:00,0.224,M,35,eng,1,-1.4961092271270973,-0.30343137515179,0.375638819900667,bad_rt
7951,21,1,3,80,cookie_pos,cookie_pos,cookie_inhib,inhibition,control,target,distractor,L,cookie_pos,Y,2/19/2019,19:01:00,0.23,M,35,eng,1,-1.4696759700589417,-0.30343137515179,0.375638819900667,bad_rt
7965,21,1,3,99,lamp_control,lamp_foil,lamp_control,implicature,unambiguous,distractor,target,R,lamp_control,Y,2/19/2019,19:01:00,0.238,M,35,eng,1,-1.4354846053106625,-0.30343137515179,0.375638819900667,bad_rt
7966,21,1,3,100,bicycle_implic,bicycle_implic,bicycle_control,implicature,implicature,target,distractor,L,bicycle_implic,Y,2/19/2019,19:01:00,0.214,M,35,eng,1,-1.5417792639602856,-0.30343137515179,0.375638819900667,bad_rt
7967,21,1,3,101,dog_control,dog_control,dog_foil,implicature,unambiguous,target,distractor,R,dog_foil,N,2/19/2019,19:01:00,0.219,M,35,eng,0,-1.5186835491656363,-0.30343137515179,0.375638819900667,bad_rt
7973,21,1,3,107,cup_implic,cup_control,cup_implic,implicature,implicature,distractor,target,R,cup_implic,Y,2/19/2019,19:01:00,0.233,M,35,eng,1,-1.4567168254164364,-0.30343137515179,0.375638819900667,bad_rt
7981,21,1,3,115,banana_implic,banana_implic,banana_control,implicature,implicature,target,distractor,L,banana_implic,Y,2/19/2019,19:01:00,0.225,M,35,eng,1,-1.491654876777717,-0.30343137515179,0.375638819900667,bad_rt
7987,21,1,3,32,cup_pos,cup_neg,cup_pos,negation,positive,distractor,target,L,cup_neg,N,2/19/2019,19:01:00,0.234,M,35,eng,0,-1.4524341636244356,-0.30343137515179,0.375638819900667,bad_rt
8003,21,1,3,48,apple_neg,apple_pos,apple_neg,negation,negative,distractor,target,L,apple_pos,N,2/19/2019,19:01:00,0.23899999999999802,M,35,eng,0,-1.4312917270506347,-0.30343137515179,0.375638819900667,bad_rt
8052,21,1,3,97,car_pos,car_neg,car_pos,negation,positive,distractor,target,R,car_pos,Y,2/19/2019,19:01:00,0.207,M,35,eng,1,-1.575036485716768,-0.30343137515179,0.375638819900667,bad_rt
8066,21,1,3,111,banana_pos,banana_neg,banana_pos,negation,positive,distractor,target,R,banana_pos,Y,2/19/2019,19:01:00,0.227,M,35,eng,1,-1.4828052615007343,-0.30343137515179,0.375638819900667,bad_rt
8067,21,1,3,112,cookie_pos,cookie_neg,cookie_pos,negation,positive,distractor,target,L,cookie_neg,N,2/19/2019,19:01:00,0.209,M,35,eng,0,-1.565421027017326,-0.30343137515179,0.375638819900667,bad_rt
8069,21,1,3,114,lamp_neg,lamp_pos,lamp_neg,negation,negative,distractor,target,R,lamp_neg,Y,2/19/2019,19:01:00,0.216999999999997,M,35,eng,1,-1.5278579254416913,-0.30343137515179,0.375638819900667,bad_rt
8070,21,1,3,115,apple_pos,apple_pos,apple_neg,negation,positive,target,distractor,L,apple_pos,Y,2/19/2019,19:01:00,0.221,M,35,eng,1,-1.5095925774643841,-0.30343137515179,0.375638819900667,bad_rt
8082,21,1,3,7,apple_inhib,apple_inhib,apple_pos,inhibition,inhib,target,distractor,R,apple_pos,N,2/19/2019,19:01:00,0.2,M,35,eng,0,-1.6094379124341003,-0.30343137515179,0.375638819900667,bad_rt
8085,21,1,3,10,car_pos,car_pos,car_inhib,inhibition,control,target,distractor,R,car_inhib,N,2/19/2019,19:01:00,0.219,M,35,eng,0,-1.5186835491656363,-0.30343137515179,0.375638819900667,bad_rt
8092,21,1,3,17,dog_pos,dog_inhib,dog_pos,inhibition,control,distractor,target,L,dog_inhib,N,2/19/2019,19:01:00,0.214,M,35,eng,0,-1.5417792639602856,-0.30343137515179,0.375638819900667,bad_rt
8103,21,1,3,29,banana_pos,banana_inhib,banana_pos,inhibition,control,distractor,target,R,banana_pos,Y,2/19/2019,19:01:00,0.234,M,35,eng,1,-1.4524341636244356,-0.30343137515179,0.375638819900667,bad_rt
8185,21,1,3,111,lamp_pos,lamp_inhib,lamp_pos,inhibition,control,distractor,target,R,lamp_pos,Y,2/19/2019,19:01:00,0.206,M,35,eng,1,-1.579879110192556,-0.30343137515179,0.375638819900667,bad_rt
8205,21,1,3,131,flower_inhib,flower_inhib,flower_pos,inhibition,inhib,target,distractor,L,flower_inhib,Y,2/19/2019,19:01:00,0.232,M,35,eng,1,-1.4610179073158271,-0.30343137515179,0.375638819900667,bad_rt
8207,21,1,3,133,apple_pos,apple_pos,apple_inhib,inhibition,control,target,distractor,L,apple_pos,Y,2/19/2019,19:01:00,0.227,M,35,eng,1,-1.4828052615007343,-0.30343137515179,0.375638819900667,bad_rt
8208,21,1,3,134,apple_pos,apple_inhib,apple_pos,inhibition,control,distractor,target,L,apple_inhib,N,2/19/2019,19:01:00,0.2,M,35,eng,0,-1.6094379124341003,-0.30343137515179,0.375638819900667,bad_rt
8216,21,1,3,142,dog_pos,dog_inhib,dog_pos,inhibition,control,distractor,target,L,dog_inhib,N,2/19/2019,19:01:00,0.21,M,35,eng,0,-1.5606477482646683,-0.30343137515179,0.375638819900667,bad_rt
8222,21,1,3,148,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,R,bird_inhib,N,2/19/2019,19:01:00,0.222,M,35,eng,0,-1.5050778971098575,-0.30343137515179,0.375638819900667,bad_rt
8277,21,1,3,87,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,L,bicycle_foil,N,2/19/2019,19:01:00,0.23,M,35,eng,0,-1.4696759700589417,-0.30343137515179,0.375638819900667,bad_rt
8311,21,1,3,26,banana_neg,banana_pos,banana_neg,negation,negative,distractor,target,R,banana_neg,Y,2/19/2019,19:01:00,0.215000000000001,M,35,eng,1,-1.5371172508544697,-0.30343137515179,0.375638819900667,bad_rt
8772,23,1,3,35,flower_neg,flower_neg,flower_pos,negation,negative,target,distractor,L,flower_neg,Y,2/15/2019,14:07:00,2.688,F,45,english,1,0.9887974226609032,-0.30343137515179,0.375638819900667,bad_rt
10597,27,1,4,43,bicycle_neg,bicycle_pos,bicycle_neg,negation,negative,distractor,target,R,bicycle_neg,Y,2/19/2019,16:21:00,2.774,M,35,English,1,1.0202903218926398,-0.30343137515179,0.375638819900667,bad_rt
10630,27,1,4,36,lamp_neg,lamp_neg,lamp_pos,negation,negative,target,distractor,L,lamp_neg,Y,2/19/2019,16:21:00,2.907,M,35,English,1,1.067121621576739,-0.30343137515179,0.375638819900667,bad_rt
11448,29,2,3,15,banana_neg,banana_neg,banana_pos,negation,negative,target,distractor,L,banana_neg,Y,2/19/2019,15:09:00,2.622,F,65,english,1,0.9639373853415081,-0.30343137515179,0.375638819900667,bad_rt
11645,30,2,2,137,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,R,cup_pos,Y,2/13/2019,18:18:00,4.452,M,35,english,1,1.4933534334132983,-0.30343137515179,0.375638819900667,bad_rt
11687,30,2,2,23,bird_control,bird_control,bird_foil,implicature,unambiguous,target,distractor,L,bird_control,Y,2/13/2019,18:18:00,2.292,M,35,english,1,0.8294247988524931,-0.30343137515179,0.375638819900667,bad_rt
12265,32,1,4,131,flower_pos,flower_pos,flower_inhib,inhibition,control,target,distractor,L,flower_pos,Y,2/19/2019,17:19:00,3.8,F,45,English,1,1.33500106673234,-0.30343137515179,0.375638819900667,bad_rt
12267,32,1,4,133,apple_pos,apple_pos,apple_inhib,inhibition,control,target,distractor,L,apple_pos,Y,2/19/2019,17:19:00,6.805,F,45,English,1,1.9176576361034294,-0.30343137515179,0.375638819900667,bad_rt
12417,32,1,4,117,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,2/19/2019,17:19:00,2.562,F,45,English,1,0.9407882034745424,-0.30343137515179,0.375638819900667,bad_rt
12528,32,1,4,73,bicycle_neg,bicycle_neg,bicycle_pos,negation,negative,target,distractor,R,bicycle_pos,N,2/19/2019,17:19:00,2.585,F,45,English,0,0.9497255079603925,-0.30343137515179,0.375638819900667,bad_rt
12540,32,1,4,85,teddybear_pos,teddybear_neg,teddybear_pos,negation,positive,distractor,target,R,teddybear_pos,Y,2/19/2019,17:19:00,2.389,F,45,English,1,0.8708748683436724,-0.30343137515179,0.375638819900667,bad_rt
12542,32,1,4,87,apple_neg,apple_pos,apple_neg,negation,negative,distractor,target,L,apple_pos,N,2/19/2019,17:19:00,5.619,F,45,English,0,1.7261537121300612,-0.30343137515179,0.375638819900667,bad_rt
12599,32,1,4,23,banana_neg,banana_pos,banana_neg,negation,negative,distractor,target,R,banana_neg,Y,2/19/2019,17:19:00,4.268,F,45,English,1,1.4511453334395068,-0.30343137515179,0.375638819900667,bad_rt
12676,33,1,6,103,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,R,teddybear_implic,Y,2/15/2019,14:26:00,0.226,M,35,English,1,-1.487220279709851,-0.30343137515179,0.375638819900667,bad_rt
12746,33,1,6,50,teddybear_pos,teddybear_pos,teddybear_neg,negation,positive,target,distractor,R,teddybear_neg,N,2/15/2019,14:26:00,0.2,M,35,English,0,-1.6094379124341003,-0.30343137515179,0.375638819900667,bad_rt
12755,33,1,6,59,flower_pos,flower_neg,flower_pos,negation,positive,distractor,target,R,flower_pos,Y,2/15/2019,14:26:00,0.204,M,35,English,1,-1.5896352851379207,-0.30343137515179,0.375638819900667,bad_rt
12757,33,1,6,61,flower_pos,flower_neg,flower_pos,negation,positive,distractor,target,L,flower_neg,N,2/15/2019,14:26:00,0.218,M,35,English,0,-1.523260216193048,-0.30343137515179,0.375638819900667,bad_rt
12760,33,1,6,64,bicycle_pos,bicycle_neg,bicycle_pos,negation,positive,distractor,target,L,bicycle_neg,N,2/15/2019,14:26:00,0.211,M,35,English,0,-1.5558971455060706,-0.30343137515179,0.375638819900667,bad_rt
12870,33,1,6,54,dog_control,dog_control,dog_foil,implicature,unambiguous,target,distractor,R,dog_foil,N,2/15/2019,14:26:00,0.21,M,35,English,0,-1.5606477482646683,-0.30343137515179,0.375638819900667,bad_rt
12887,33,1,6,72,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,R,bird_inhib,N,2/15/2019,14:26:00,0.206,M,35,English,0,-1.579879110192556,-0.30343137515179,0.375638819900667,bad_rt
12921,33,1,6,106,bicycle_inhib,bicycle_pos,bicycle_inhib,inhibition,inhib,distractor,target,R,bicycle_inhib,Y,2/15/2019,14:26:00,0.222,M,35,English,1,-1.5050778971098575,-0.30343137515179,0.375638819900667,bad_rt
12963,33,1,6,27,banana_pos,banana_pos,banana_inhib,inhibition,control,target,distractor,L,banana_pos,Y,2/15/2019,14:26:00,0.222,M,35,English,1,-1.5050778971098575,-0.30343137515179,0.375638819900667,bad_rt
12966,33,1,6,30,banana_pos,banana_inhib,banana_pos,inhibition,control,distractor,target,R,banana_pos,Y,2/15/2019,14:26:00,0.214,M,35,English,1,-1.5417792639602856,-0.30343137515179,0.375638819900667,bad_rt
12977,33,1,6,41,cat_pos,cat_pos,cat_inhib,inhibition,control,target,distractor,L,cat_pos,Y,2/15/2019,14:26:00,0.211,M,35,English,1,-1.5558971455060706,-0.30343137515179,0.375638819900667,bad_rt
13082,34,2,1,38,banana_neg,banana_pos,banana_neg,negation,negative,distractor,target,R,banana_neg,Y,2/19/2019,17:21:00,3.266,M,17,English,1,1.1835659945482733,-0.30343137515179,0.375638819900667,bad_rt
13248,34,2,1,1,cookie_neg,cookie_neg,cookie_pos,negation,negative,target,distractor,L,cookie_neg,Y,2/19/2019,17:21:00,2.415,M,17,English,1,0.881699287104536,-0.30343137515179,0.375638819900667,bad_rt
13281,34,2,1,34,apple_control,apple_foil,apple_control,implicature,unambiguous,distractor,target,R,apple_control,Y,2/19/2019,17:21:00,2.862,M,17,English,1,1.0515206811342592,-0.30343137515179,0.375638819900667,bad_rt
13355,34,2,1,107,lamp_neg,lamp_pos,lamp_neg,negation,negative,distractor,target,R,lamp_neg,Y,2/19/2019,17:21:00,4.572,M,17,English,1,1.5199507459325643,-0.30343137515179,0.375638819900667,bad_rt
13369,34,2,1,1,cat_control,cat_foil,cat_control,implicature,unambiguous,distractor,target,R,cat_control,Y,2/19/2019,17:21:00,4.305,M,17,English,1,1.459777137879694,-0.30343137515179,0.375638819900667,bad_rt
