X1,subid,list,game.order,trial.num,word,leftpic,rightpic,game,trial.type,leftpic.type,rightpic.type,side.chosen,pic.chosen,response,date,timestamp,rt,response_numeric,log_rt,m_log_rt,sd_log_rt
61,1,2,4,61,lamp_control,lamp_control,lamp_foil,implicature,unambiguous,target,distractor,L,lamp_control,Y,7/23/2015,12:17:00,0.709,1,-0.3438997524500096,-0.23752603141136527,0.3746167648693195
62,1,2,4,62,dog_implic,dog_implic,dog_control,implicature,implicature,target,distractor,L,dog_implic,Y,7/23/2015,12:17:00,0.578,1,-0.5481814103097596,-0.23752603141136527,0.3746167648693195
63,1,2,4,63,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,R,bird_control,Y,7/23/2015,12:17:00,0.64,1,-0.4462871026284195,-0.23752603141136527,0.3746167648693195
64,1,2,4,64,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,7/23/2015,12:17:00,0.627,1,-0.4668087383492164,-0.23752603141136527,0.3746167648693195
65,1,2,4,65,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.655,1,-0.4231200433468851,-0.23752603141136527,0.3746167648693195
66,1,2,4,66,banana_control,banana_control,banana_foil,implicature,unambiguous,target,distractor,L,banana_control,Y,7/23/2015,12:17:00,0.64,1,-0.4462871026284195,-0.23752603141136527,0.3746167648693195
67,1,2,4,67,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.556,0,-0.5869869847315546,-0.23752603141136527,0.3746167648693195
68,1,2,4,68,cup_control,cup_control,cup_foil,implicature,unambiguous,target,distractor,L,cup_control,Y,7/23/2015,12:17:00,0.496,1,-0.7011793522572096,-0.23752603141136527,0.3746167648693195
69,1,2,4,69,apple_implic,apple_control,apple_implic,implicature,implicature,distractor,target,L,apple_control,N,7/23/2015,12:17:00,0.542,0,-0.6124892775424908,-0.23752603141136527,0.3746167648693195
70,1,2,4,70,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,7/23/2015,12:17:00,0.909,1,-0.09541018480465818,-0.23752603141136527,0.3746167648693195
71,1,2,4,71,teddybear_control,teddybear_control,teddybear_foil,implicature,unambiguous,target,distractor,L,teddybear_control,Y,7/23/2015,12:17:00,0.564,1,-0.5727010274840783,-0.23752603141136527,0.3746167648693195
72,1,2,4,72,bicycle_implic,bicycle_implic,bicycle_control,implicature,implicature,target,distractor,L,bicycle_implic,Y,7/23/2015,12:17:00,0.786,1,-0.24079848655293046,-0.23752603141136527,0.3746167648693195
73,1,2,4,73,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.64,0,-0.4462871026284195,-0.23752603141136527,0.3746167648693195
74,1,2,4,74,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,7/23/2015,12:17:00,0.64,1,-0.4462871026284195,-0.23752603141136527,0.3746167648693195
75,1,2,4,75,car_implic,car_implic,car_control,implicature,implicature,target,distractor,L,car_implic,Y,7/23/2015,12:17:00,0.672,1,-0.3974969384589874,-0.23752603141136527,0.3746167648693195
76,1,2,4,76,flower_control,flower_control,flower_foil,implicature,unambiguous,target,distractor,L,flower_control,Y,7/23/2015,12:17:00,0.705,1,-0.34955747616986843,-0.23752603141136527,0.3746167648693195
77,1,2,4,77,cookie_control,cookie_control,cookie_foil,implicature,unambiguous,target,distractor,L,cookie_control,Y,7/23/2015,12:17:00,0.638,1,-0.44941699563734716,-0.23752603141136527,0.3746167648693195
78,1,2,4,78,teddybear_implic,teddybear_implic,teddybear_control,implicature,implicature,target,distractor,R,teddybear_control,N,7/23/2015,12:17:00,0.627,0,-0.4668087383492164,-0.23752603141136527,0.3746167648693195
79,1,2,4,79,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,L,bird_implic,Y,7/23/2015,12:17:00,0.632,1,-0.4588658848352796,-0.23752603141136527,0.3746167648693195
80,1,2,4,80,dog_control,dog_foil,dog_control,implicature,unambiguous,distractor,target,R,dog_control,Y,7/23/2015,12:17:00,0.654,1,-0.4246479275249383,-0.23752603141136527,0.3746167648693195
81,1,2,4,81,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,0.648,1,-0.4338645826298623,-0.23752603141136527,0.3746167648693195
82,1,2,4,82,lamp_control,lamp_control,lamp_foil,implicature,unambiguous,target,distractor,L,lamp_control,Y,7/23/2015,12:17:00,0.614,1,-0.4877603508349946,-0.23752603141136527,0.3746167648693195
83,1,2,4,83,apple_implic,apple_implic,apple_control,implicature,implicature,target,distractor,L,apple_implic,Y,7/23/2015,12:17:00,0.743,1,-0.2970592342643779,-0.23752603141136527,0.3746167648693195
84,1,2,4,84,banana_control,banana_foil,banana_control,implicature,unambiguous,distractor,target,R,banana_control,Y,7/23/2015,12:17:00,0.675,1,-0.3930425881096072,-0.23752603141136527,0.3746167648693195
85,1,2,4,85,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,7/23/2015,12:17:00,0.534,1,-0.6273594400219421,-0.23752603141136527,0.3746167648693195
86,1,2,4,86,apple_implic,apple_control,apple_implic,implicature,implicature,distractor,target,L,apple_control,N,7/23/2015,12:17:00,0.607,0,-0.4992264879226388,-0.23752603141136527,0.3746167648693195
87,1,2,4,87,banana_implic,banana_implic,banana_control,implicature,implicature,target,distractor,L,banana_implic,Y,7/23/2015,12:17:00,0.546,1,-0.6051363032372319,-0.23752603141136527,0.3746167648693195
88,1,2,4,88,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,7/23/2015,12:17:00,0.5,1,-0.6931471805599453,-0.23752603141136527,0.3746167648693195
89,1,2,4,89,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,7/23/2015,12:17:00,0.556,1,-0.5869869847315546,-0.23752603141136527,0.3746167648693195
90,1,2,4,90,dog_implic,dog_implic,dog_control,implicature,implicature,target,distractor,L,dog_implic,Y,7/23/2015,12:17:00,0.563,1,-0.5744756508424468,-0.23752603141136527,0.3746167648693195
91,1,2,4,91,flower_control,flower_control,flower_foil,implicature,unambiguous,target,distractor,L,flower_control,Y,7/23/2015,12:17:00,0.645,1,-0.43850496218636453,-0.23752603141136527,0.3746167648693195
92,1,2,4,92,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,L,bird_implic,Y,7/23/2015,12:17:00,0.622,1,-0.4748151862429576,-0.23752603141136527,0.3746167648693195
93,1,2,4,93,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,L,teddybear_control,N,7/23/2015,12:17:00,0.606,0,-0.5008752929128226,-0.23752603141136527,0.3746167648693195
94,1,2,4,94,bicycle_implic,bicycle_control,bicycle_implic,implicature,implicature,distractor,target,L,bicycle_control,N,7/23/2015,12:17:00,0.499,0,-0.6951491832306184,-0.23752603141136527,0.3746167648693195
95,1,2,4,95,lamp_implic,lamp_control,lamp_implic,implicature,implicature,distractor,target,R,lamp_implic,Y,7/23/2015,12:17:00,0.598,1,-0.5141645250315053,-0.23752603141136527,0.3746167648693195
96,1,2,4,96,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,7/23/2015,12:17:00,0.687,1,-0.37542098675978763,-0.23752603141136527,0.3746167648693195
97,1,2,4,97,teddybear_control,teddybear_control,teddybear_foil,implicature,unambiguous,target,distractor,L,teddybear_control,Y,7/23/2015,12:17:00,0.607,1,-0.4992264879226388,-0.23752603141136527,0.3746167648693195
98,1,2,4,98,cup_implic,cup_implic,cup_control,implicature,implicature,target,distractor,L,cup_implic,Y,7/23/2015,12:17:00,0.564,1,-0.5727010274840783,-0.23752603141136527,0.3746167648693195
99,1,2,4,99,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,R,bird_control,Y,7/23/2015,12:17:00,0.655,1,-0.4231200433468851,-0.23752603141136527,0.3746167648693195
100,1,2,4,100,dog_implic,dog_control,dog_implic,implicature,implicature,distractor,target,L,dog_control,N,7/23/2015,12:17:00,0.658,0,-0.4185503476568198,-0.23752603141136527,0.3746167648693195
101,1,2,4,101,bicycle_implic,bicycle_control,bicycle_implic,implicature,implicature,distractor,target,L,bicycle_control,N,7/23/2015,12:17:00,0.564,0,-0.5727010274840783,-0.23752603141136527,0.3746167648693195
102,1,2,4,102,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.532,0,-0.6311117896404926,-0.23752603141136527,0.3746167648693195
103,1,2,4,103,car_implic,car_implic,car_control,implicature,implicature,target,distractor,L,car_implic,Y,7/23/2015,12:17:00,0.566,1,-0.5691612007789542,-0.23752603141136527,0.3746167648693195
104,1,2,4,104,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,7/23/2015,12:17:00,0.485,1,-0.7236063880446539,-0.23752603141136527,0.3746167648693195
105,1,2,4,105,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,L,banana_control,N,7/23/2015,12:17:00,1.054,0,0.05259245011917063,-0.23752603141136527,0.3746167648693195
106,1,2,4,106,lamp_control,lamp_foil,lamp_control,implicature,unambiguous,distractor,target,R,lamp_control,Y,7/23/2015,12:17:00,0.766,1,-0.26657310924154576,-0.23752603141136527,0.3746167648693195
107,1,2,4,107,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.576,1,-0.5516476182862459,-0.23752603141136527,0.3746167648693195
108,1,2,4,108,apple_control,apple_control,apple_foil,implicature,unambiguous,target,distractor,L,apple_control,Y,7/23/2015,12:17:00,0.588,1,-0.5310283310835102,-0.23752603141136527,0.3746167648693195
109,1,2,4,109,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,0.615,1,-0.4861330111756192,-0.23752603141136527,0.3746167648693195
110,1,2,4,110,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,7/23/2015,12:17:00,0.647,1,-0.43540898448123644,-0.23752603141136527,0.3746167648693195
111,1,2,4,111,banana_control,banana_foil,banana_control,implicature,unambiguous,distractor,target,R,banana_control,Y,7/23/2015,12:17:00,0.648,1,-0.4338645826298623,-0.23752603141136527,0.3746167648693195
112,1,2,4,112,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,L,bird_foil,N,7/23/2015,12:17:00,0.504,0,-0.6851790109107684,-0.23752603141136527,0.3746167648693195
113,1,2,4,113,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,7/23/2015,12:17:00,0.672,1,-0.3974969384589874,-0.23752603141136527,0.3746167648693195
114,1,2,4,114,lamp_control,lamp_control,lamp_foil,implicature,unambiguous,target,distractor,L,lamp_control,Y,7/23/2015,12:17:00,0.572,1,-0.5586162876023393,-0.23752603141136527,0.3746167648693195
115,1,2,4,115,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,L,teddybear_control,N,7/23/2015,12:17:00,0.633,0,-0.45728485683796083,-0.23752603141136527,0.3746167648693195
116,1,2,4,116,car_implic,car_implic,car_control,implicature,implicature,target,distractor,R,car_control,N,7/23/2015,12:17:00,0.544,0,-0.6088060321261943,-0.23752603141136527,0.3746167648693195
117,1,2,4,117,apple_implic,apple_implic,apple_control,implicature,implicature,target,distractor,R,apple_control,N,7/23/2015,12:17:00,0.595,0,-0.5191938734365074,-0.23752603141136527,0.3746167648693195
118,1,2,4,118,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,7/23/2015,12:17:00,0.572,1,-0.5586162876023393,-0.23752603141136527,0.3746167648693195
119,1,2,4,119,dog_implic,dog_implic,dog_control,implicature,implicature,target,distractor,L,dog_implic,Y,7/23/2015,12:17:00,0.602,1,-0.507497833673316,-0.23752603141136527,0.3746167648693195
120,1,2,4,120,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.572,1,-0.5586162876023393,-0.23752603141136527,0.3746167648693195
121,1,2,4,1,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,7/23/2015,12:17:00,0.629,1,-0.4636240222816965,-0.23752603141136527,0.3746167648693195
122,1,2,4,2,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,L,cup_inhib,N,7/23/2015,12:17:00,0.527,0,-0.6405547304407747,-0.23752603141136527,0.3746167648693195
123,1,2,4,3,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,7/23/2015,12:17:00,0.421,1,-0.8651224452997557,-0.23752603141136527,0.3746167648693195
124,1,2,4,4,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,7/23/2015,12:17:00,0.392,1,-0.9364934391916745,-0.23752603141136527,0.3746167648693195
125,1,2,4,5,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,7/23/2015,12:17:00,0.38,1,-0.9675840262617056,-0.23752603141136527,0.3746167648693195
126,1,2,4,6,cup_inhib,cup_inhib,cup_pos,inhibition,inhib,target,distractor,R,cup_pos,N,7/23/2015,12:17:00,0.388,0,-0.9467499393588635,-0.23752603141136527,0.3746167648693195
127,1,2,4,7,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,L,bird_pos,Y,7/23/2015,12:17:00,0.75,1,-0.2876820724517809,-0.23752603141136527,0.3746167648693195
128,1,2,4,8,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,L,bird_pos,Y,7/23/2015,12:17:00,0.691,1,-0.36961545521446726,-0.23752603141136527,0.3746167648693195
129,1,2,4,9,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,L,bird_pos,Y,7/23/2015,12:17:00,0.404,1,-0.9063404010209869,-0.23752603141136527,0.3746167648693195
130,1,2,4,10,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,7/23/2015,12:17:00,0.586,1,-0.5344354894051245,-0.23752603141136527,0.3746167648693195
131,1,2,4,11,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,L,bird_pos,Y,7/23/2015,12:17:00,0.375,1,-0.9808292530117262,-0.23752603141136527,0.3746167648693195
132,1,2,4,12,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,7/23/2015,12:17:00,0.644,1,-0.4400565528777834,-0.23752603141136527,0.3746167648693195
133,1,2,4,13,bird_inhib,bird_inhib,bird_pos,inhibition,inhib,target,distractor,L,bird_inhib,Y,7/23/2015,12:17:00,0.499,1,-0.6951491832306184,-0.23752603141136527,0.3746167648693195
134,1,2,4,14,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,R,lamp_inhib,N,7/23/2015,12:17:00,0.56,0,-0.579818495252942,-0.23752603141136527,0.3746167648693195
135,1,2,4,15,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,7/23/2015,12:17:00,0.464,1,-0.7678707267558817,-0.23752603141136527,0.3746167648693195
136,1,2,4,16,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,7/23/2015,12:17:00,0.412,1,-0.8867319296326107,-0.23752603141136527,0.3746167648693195
