X1,subid,list,game.order,trial.num,word,leftpic,rightpic,game,trial.type,leftpic.type,rightpic.type,side.chosen,pic.chosen,response,date,timestamp,rt,age,agegroup,gender,english,response_numeric,log_rt,m_log_rt,sd_log_rt
45,111015_1,1,2,67,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,11/10/2015,13:10:00,1.498,4.97,4,F,100,1,0.40413088509502776,0.34839901594443556,0.5220063149724423
46,111015_1,1,2,38,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,R,bird_control,N,11/10/2015,13:10:00,0.753,4.97,4,F,100,0,-0.2836900511822435,0.34839901594443556,0.5220063149724423
47,111015_1,1,2,1,banana_control,banana_control,banana_foil,implicature,unambiguous,target,distractor,L,banana_control,Y,11/10/2015,13:10:00,3.42,4.97,4,F,100,1,1.2296405510745139,0.34839901594443556,0.5220063149724423
48,111015_1,1,2,28,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,R,cat_implic,Y,11/10/2015,13:10:00,2.246,4.97,4,F,100,1,0.8091508563162514,0.34839901594443556,0.5220063149724423
50,111015_1,1,2,58,cat_pos,cat_pos,cat_neg,negation,positive,target,distractor,L,cat_pos,Y,11/10/2015,13:10:00,2.307,4.97,4,F,100,1,0.8359479791916166,0.34839901594443556,0.5220063149724423
51,111015_1,1,2,59,flower_pos,flower_neg,flower_pos,negation,positive,distractor,target,R,flower_pos,Y,11/10/2015,13:10:00,1.238,4.97,4,F,100,1,0.21349717426240436,0.34839901594443556,0.5220063149724423
52,111015_1,1,2,60,cookie_neg,cookie_pos,cookie_neg,negation,negative,distractor,target,R,cookie_neg,Y,11/10/2015,13:10:00,1.758,4.97,4,F,100,1,0.5641767992629853,0.34839901594443556,0.5220063149724423
54,111015_1,1,2,6,apple_inhib,apple_pos,apple_inhib,inhibition,inhib,distractor,target,L,apple_pos,N,11/10/2015,13:10:00,3.373,4.97,4,F,100,0,1.2158025560795132,0.34839901594443556,0.5220063149724423
55,111015_1,1,2,44,bird_neg,bird_neg,bird_pos,negation,negative,target,distractor,L,bird_neg,Y,11/10/2015,13:10:00,0.767,4.97,4,F,100,1,-0.26526847761488087,0.34839901594443556,0.5220063149724423
56,111015_1,1,2,45,dog_neg,dog_neg,dog_pos,negation,negative,target,distractor,R,dog_pos,N,11/10/2015,13:10:00,1.209,4.97,4,F,100,0,0.18979357163265567,0.34839901594443556,0.5220063149724423
57,111015_1,1,2,47,cookie_pos,cookie_pos,cookie_neg,negation,positive,target,distractor,R,cookie_neg,N,11/10/2015,13:10:00,2.418,4.97,4,F,100,0,0.882940752192601,0.34839901594443556,0.5220063149724423
58,111015_1,1,2,75,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,11/10/2015,13:10:00,1.405,4.97,4,F,100,1,0.3400373027857091,0.34839901594443556,0.5220063149724423
60,111015_1,1,2,78,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,R,cup_pos,Y,11/10/2015,13:10:00,1.447,4.97,4,F,100,1,0.36949244764934686,0.34839901594443556,0.5220063149724423
61,111015_1,1,2,2,cup_control,cup_control,cup_foil,implicature,unambiguous,target,distractor,L,cup_control,Y,11/10/2015,13:10:00,2.555,4.97,4,F,100,1,0.9380522236556679,0.34839901594443556,0.5220063149724423
62,111015_1,1,2,29,banana_pos,banana_pos,banana_inhib,inhibition,control,target,distractor,L,banana_pos,Y,11/10/2015,13:10:00,1.161,4.97,4,F,100,1,0.14928170271575447,0.34839901594443556,0.5220063149724423
63,111015_1,1,2,28,banana_pos,banana_pos,banana_inhib,inhibition,control,target,distractor,R,banana_inhib,N,11/10/2015,13:10:00,1.38,4.97,4,F,100,0,0.3220834991691132,0.34839901594443556,0.5220063149724423
64,111015_1,1,2,11,flower_pos,flower_neg,flower_pos,negation,positive,distractor,target,L,flower_neg,N,11/10/2015,13:10:00,0.962,4.97,4,F,100,0,-0.038740828316430595,0.34839901594443556,0.5220063149724423
65,111015_1,1,2,62,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,11/10/2015,13:10:00,1.165,4.97,4,F,100,1,0.15272108701766393,0.34839901594443556,0.5220063149724423
66,111015_1,1,2,40,car_neg,car_pos,car_neg,negation,negative,distractor,target,L,car_pos,N,11/10/2015,13:10:00,0.849,4.97,4,F,100,0,-0.16369609267078977,0.34839901594443556,0.5220063149724423
67,111015_1,1,2,43,bicycle_neg,bicycle_neg,bicycle_pos,negation,negative,target,distractor,R,bicycle_pos,N,11/10/2015,13:10:00,1.174,4.97,4,F,100,0,0.16041672140590466,0.34839901594443556,0.5220063149724423
68,111015_1,1,2,20,cup_neg,cup_neg,cup_pos,negation,negative,target,distractor,L,cup_neg,Y,11/10/2015,13:10:00,0.799000000000001,4.97,4,F,100,1,-0.22439433321586108,0.34839901594443556,0.5220063149724423
69,111015_1,1,2,44,bicycle_control,bicycle_control,bicycle_foil,implicature,unambiguous,target,distractor,L,bicycle_control,Y,11/10/2015,13:10:00,1.046,4.97,4,F,100,1,0.044973365642731196,0.34839901594443556,0.5220063149724423
70,111015_1,1,2,45,teddybear_control,teddybear_foil,teddybear_control,implicature,unambiguous,distractor,target,L,teddybear_foil,N,11/10/2015,13:10:00,0.296,4.97,4,F,100,0,-1.2173958246580767,0.34839901594443556,0.5220063149724423
71,111015_1,1,2,42,cat_pos,cat_inhib,cat_pos,inhibition,control,distractor,target,R,cat_pos,Y,11/10/2015,13:10:00,2.431,4.97,4,F,100,1,0.8883026953339863,0.34839901594443556,0.5220063149724423
74,111015_1,1,2,79,cup_inhib,cup_inhib,cup_pos,inhibition,inhib,target,distractor,L,cup_inhib,Y,11/10/2015,13:10:00,1.739,4.97,4,F,100,1,0.5533102353721461,0.34839901594443556,0.5220063149724423
75,111015_1,1,2,1,apple_pos,apple_pos,apple_inhib,inhibition,control,target,distractor,L,apple_pos,Y,11/10/2015,13:10:00,1.507,4.97,4,F,100,1,0.4101209196443583,0.34839901594443556,0.5220063149724423
76,111015_1,1,2,57,bicycle_neg,bicycle_pos,bicycle_neg,negation,negative,distractor,target,R,bicycle_neg,Y,11/10/2015,13:10:00,1.614,4.97,4,F,100,1,0.4787155698477571,0.34839901594443556,0.5220063149724423
80,111015_1,1,2,5,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,11/10/2015,13:10:00,1.299,4.97,4,F,100,1,0.2615947376884624,0.34839901594443556,0.5220063149724423
81,111015_1,1,2,61,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,11/10/2015,13:10:00,1.403,4.97,4,F,100,1,0.3386128011203239,0.34839901594443556,0.5220063149724423
82,111015_1,1,2,42,cup_pos,cup_pos,cup_neg,negation,positive,target,distractor,L,cup_pos,Y,11/10/2015,13:10:00,1.427,4.97,4,F,100,1,0.3555743384946994,0.34839901594443556,0.5220063149724423
84,111015_1,1,2,16,bird_control,bird_control,bird_foil,implicature,unambiguous,target,distractor,L,bird_control,Y,11/10/2015,13:10:00,1.419,4.97,4,F,100,1,0.34995239817790563,0.34839901594443556,0.5220063149724423
85,111015_1,1,2,21,teddybear_neg,teddybear_neg,teddybear_pos,negation,negative,target,distractor,L,teddybear_neg,Y,11/10/2015,13:10:00,1.91,4.97,4,F,100,1,0.6471032420585384,0.34839901594443556,0.5220063149724423
86,111015_1,1,2,10,car_pos,car_inhib,car_pos,inhibition,control,distractor,target,L,car_inhib,N,11/10/2015,13:10:00,0.297,4.97,4,F,100,0,-1.2140231401794375,0.34839901594443556,0.5220063149724423
87,111015_1,1,2,27,apple_implic,apple_control,apple_implic,implicature,implicature,distractor,target,R,apple_implic,Y,11/10/2015,13:10:00,3.572,4.97,4,F,100,1,1.2731256630142527,0.34839901594443556,0.5220063149724423
88,111015_1,1,2,30,banana_pos,banana_pos,banana_inhib,inhibition,control,target,distractor,L,banana_pos,Y,11/10/2015,13:10:00,1.929,4.97,4,F,100,1,0.6570017339235921,0.34839901594443556,0.5220063149724423
89,111015_1,1,2,26,teddybear_pos,teddybear_inhib,teddybear_pos,inhibition,control,distractor,target,R,teddybear_pos,Y,11/10/2015,13:10:00,1.425,4.97,4,F,100,1,0.3541718137206139,0.34839901594443556,0.5220063149724423
90,111015_1,1,2,27,teddybear_inhib,teddybear_inhib,teddybear_pos,inhibition,inhib,target,distractor,L,teddybear_inhib,Y,11/10/2015,13:10:00,1.166,4.97,4,F,100,1,0.15357908792830058,0.34839901594443556,0.5220063149724423
91,111015_1,1,2,10,bird_neg,bird_pos,bird_neg,negation,negative,distractor,target,R,bird_neg,Y,11/10/2015,13:10:00,0.696,4.97,4,F,100,1,-0.3624056186477175,0.34839901594443556,0.5220063149724423
92,111015_1,1,2,6,cup_neg,cup_neg,cup_pos,negation,negative,target,distractor,R,cup_pos,N,11/10/2015,13:10:00,1.579,4.97,4,F,100,0,0.45679173527350503,0.34839901594443556,0.5220063149724423
95,111015_1,1,2,19,bird_pos,bird_neg,bird_pos,negation,positive,distractor,target,R,bird_pos,Y,11/10/2015,13:10:00,0.692,4.97,4,F,100,1,-0.36816932336446756,0.34839901594443556,0.5220063149724423
96,111015_1,1,2,17,lamp_pos,lamp_neg,lamp_pos,negation,positive,distractor,target,R,lamp_pos,Y,11/10/2015,13:10:00,1.088,4.97,4,F,100,1,0.08434114843375096,0.34839901594443556,0.5220063149724423
97,111015_1,1,2,13,car_inhib,car_inhib,car_pos,inhibition,inhib,target,distractor,L,car_inhib,Y,11/10/2015,13:10:00,4.714,4.97,4,F,100,1,1.5505368045139394,0.34839901594443556,0.5220063149724423
98,111015_1,1,2,17,cat_implic,cat_implic,cat_control,implicature,implicature,target,distractor,L,cat_implic,Y,11/10/2015,13:10:00,1.688,4.97,4,F,100,1,0.5235443961737654,0.34839901594443556,0.5220063149724423
100,111015_1,1,2,77,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,L,cup_inhib,N,11/10/2015,13:10:00,1.129,4.97,4,F,100,0,0.12133228516752496,0.34839901594443556,0.5220063149724423
101,111015_1,1,2,53,dog_pos,dog_neg,dog_pos,negation,positive,distractor,target,L,dog_neg,N,11/10/2015,13:10:00,1.355,4.97,4,F,100,0,0.3038014543316642,0.34839901594443556,0.5220063149724423
102,111015_1,1,2,35,bicycle_pos,bicycle_pos,bicycle_inhib,inhibition,control,target,distractor,L,bicycle_pos,Y,11/10/2015,13:10:00,2.183,4.97,4,F,100,1,0.7807000775678068,0.34839901594443556,0.5220063149724423
103,111015_1,1,2,39,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,R,banana_implic,Y,11/10/2015,13:10:00,0.518,4.97,4,F,100,1,-0.657780036722654,0.34839901594443556,0.5220063149724423
104,111015_1,1,2,55,bird_pos,bird_pos,bird_neg,negation,positive,target,distractor,L,bird_pos,Y,11/10/2015,13:10:00,0.899,4.97,4,F,100,1,-0.10647224451051676,0.34839901594443556,0.5220063149724423
105,111015_1,1,2,38,bicycle_pos,bicycle_inhib,bicycle_pos,inhibition,control,distractor,target,R,bicycle_pos,Y,11/10/2015,13:10:00,4.216,4.97,4,F,100,1,1.4388868112390611,0.34839901594443556,0.5220063149724423
106,111015_1,1,2,39,cat_neg,cat_pos,cat_neg,negation,negative,distractor,target,R,cat_neg,Y,11/10/2015,13:10:00,0.936000000000001,4.97,4,F,100,1,-0.06613980250454388,0.34839901594443556,0.5220063149724423
107,111015_1,1,2,40,bicycle_pos,bicycle_inhib,bicycle_pos,inhibition,control,distractor,target,R,bicycle_pos,Y,11/10/2015,13:10:00,2.228,4.97,4,F,100,1,0.8011043220650377,0.34839901594443556,0.5220063149724423
108,111015_1,1,2,18,apple_pos,apple_pos,apple_neg,negation,positive,target,distractor,L,apple_pos,Y,11/10/2015,13:10:00,1.069,4.97,4,F,100,1,0.06672363204290813,0.34839901594443556,0.5220063149724423
109,111015_1,1,2,15,dog_pos,dog_pos,dog_inhib,inhibition,control,target,distractor,L,dog_pos,Y,11/10/2015,13:10:00,3.047,4.97,4,F,100,1,1.114157500003572,0.34839901594443556,0.5220063149724423
110,111015_1,1,2,44,cat_pos,cat_pos,cat_inhib,inhibition,control,target,distractor,R,cat_inhib,N,11/10/2015,13:10:00,1.522,4.97,4,F,100,0,0.4200252594394941,0.34839901594443556,0.5220063149724423
111,111015_1,1,2,16,dog_pos,dog_inhib,dog_pos,inhibition,control,distractor,target,L,dog_inhib,N,11/10/2015,13:10:00,2.217,4.97,4,F,100,0,0.7961549306341744,0.34839901594443556,0.5220063149724423
112,111015_1,1,2,18,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,R,cookie_control,N,11/10/2015,13:10:00,0.909,4.97,4,F,100,0,-0.09541018480465818,0.34839901594443556,0.5220063149724423
114,111015_1,1,2,26,banana_control,banana_foil,banana_control,implicature,unambiguous,distractor,target,L,banana_foil,N,11/10/2015,13:10:00,1.627,4.97,4,F,100,0,0.48673782823690076,0.34839901594443556,0.5220063149724423
115,111015_1,1,2,24,teddybear_control,teddybear_control,teddybear_foil,implicature,unambiguous,target,distractor,L,teddybear_control,Y,11/10/2015,13:10:00,3.027,4.97,4,F,100,1,1.1075720300395817,0.34839901594443556,0.5220063149724423
116,111015_1,1,2,5,car_neg,car_neg,car_pos,negation,negative,target,distractor,L,car_neg,Y,11/10/2015,13:10:00,3.115,4.97,4,F,100,1,1.1362291522394166,0.34839901594443556,0.5220063149724423
117,111015_1,1,2,9,apple_pos,apple_neg,apple_pos,negation,positive,distractor,target,L,apple_neg,N,11/10/2015,13:10:00,0.913,4.97,4,F,100,0,-0.09101939838716855,0.34839901594443556,0.5220063149724423
118,111015_1,1,2,59,cookie_inhib,cookie_pos,cookie_inhib,inhibition,inhib,distractor,target,R,cookie_inhib,Y,11/10/2015,13:10:00,1.622,4.97,4,F,100,1,0.48365995569322123,0.34839901594443556,0.5220063149724423
120,111015_1,1,2,37,bicycle_pos,bicycle_inhib,bicycle_pos,inhibition,control,distractor,target,R,bicycle_pos,Y,11/10/2015,13:10:00,1.251,4.97,4,F,100,1,0.223943231484774,0.34839901594443556,0.5220063149724423
122,111015_1,1,2,12,car_pos,car_pos,car_inhib,inhibition,control,target,distractor,R,car_inhib,N,11/10/2015,13:10:00,1.575,4.97,4,F,100,0,0.4542552722775964,0.34839901594443556,0.5220063149724423
123,111015_1,1,2,34,bicycle_neg,bicycle_pos,bicycle_neg,negation,negative,distractor,target,L,bicycle_pos,N,11/10/2015,13:10:00,0.633000000000001,4.97,4,F,100,0,-0.4572848568379593,0.34839901594443556,0.5220063149724423
124,111015_1,1,2,51,flower_control,flower_foil,flower_control,implicature,unambiguous,distractor,target,R,flower_control,Y,11/10/2015,13:10:00,1.058,4.97,4,F,100,1,0.05638033343610769,0.34839901594443556,0.5220063149724423
125,111015_1,1,2,17,dog_pos,dog_inhib,dog_pos,inhibition,control,distractor,target,R,dog_pos,Y,11/10/2015,13:10:00,1.282,4.97,4,F,100,1,0.24842135849847832,0.34839901594443556,0.5220063149724423
126,111015_1,1,2,22,dog_neg,dog_neg,dog_pos,negation,negative,target,distractor,L,dog_neg,Y,11/10/2015,13:10:00,2.252,4.97,4,F,100,1,0.8118187102774439,0.34839901594443556,0.5220063149724423
127,111015_1,1,2,43,cat_pos,cat_inhib,cat_pos,inhibition,control,distractor,target,L,cat_inhib,N,11/10/2015,13:10:00,1.802,4.97,4,F,100,0,0.5888971591861462,0.34839901594443556,0.5220063149724423
128,111015_1,1,2,12,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,R,bird_control,N,11/10/2015,13:10:00,1.525,4.97,4,F,100,0,0.4219944100593749,0.34839901594443556,0.5220063149724423
129,111015_1,1,2,8,lamp_neg,lamp_neg,lamp_pos,negation,negative,target,distractor,R,lamp_pos,N,11/10/2015,13:10:00,0.8189999999999971,4.97,4,F,100,0,-0.19967119512907122,0.34839901594443556,0.5220063149724423
130,111015_1,1,2,54,banana_neg,banana_neg,banana_pos,negation,negative,target,distractor,R,banana_pos,N,11/10/2015,13:10:00,0.7020000000000011,4.97,4,F,100,0,-0.3538218749563244,0.34839901594443556,0.5220063149724423
131,111015_1,1,2,52,apple_neg,apple_neg,apple_pos,negation,negative,target,distractor,R,apple_pos,N,11/10/2015,13:10:00,1.626,4.97,4,F,100,0,0.4861230111256188,0.34839901594443556,0.5220063149724423
132,111015_1,1,2,60,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,11/10/2015,13:10:00,1.609,4.97,4,F,100,1,0.47561286801024616,0.34839901594443556,0.5220063149724423
133,111015_1,1,2,15,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,11/10/2015,13:10:00,1.06,4.97,4,F,100,1,0.058268908123975824,0.34839901594443556,0.5220063149724423
134,111015_1,1,2,50,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,11/10/2015,13:10:00,0.793,4.97,4,F,100,1,-0.23193205734728903,0.34839901594443556,0.5220063149724423
135,111015_1,1,2,35,flower_pos,flower_neg,flower_pos,negation,positive,distractor,target,R,flower_pos,Y,11/10/2015,13:10:00,1.106,4.97,4,F,100,1,0.10074990310014315,0.34839901594443556,0.5220063149724423
136,111015_1,1,2,51,flower_pos,flower_pos,flower_inhib,inhibition,control,target,distractor,L,flower_pos,Y,11/10/2015,13:10:00,1.942,4.97,4,F,100,1,0.6637183698691331,0.34839901594443556,0.5220063149724423
137,111015_1,1,2,32,cup_neg,cup_pos,cup_neg,negation,negative,distractor,target,L,cup_pos,N,11/10/2015,13:10:00,0.791000000000001,4.97,4,F,100,0,-0.23445731121448188,0.34839901594443556,0.5220063149724423
138,111015_1,1,2,53,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,R,cookie_control,N,11/10/2015,13:10:00,0.802,4.97,4,F,100,0,-0.2206466711156225,0.34839901594443556,0.5220063149724423
139,111015_1,1,2,18,dog_pos,dog_pos,dog_inhib,inhibition,control,target,distractor,L,dog_pos,Y,11/10/2015,13:10:00,1.864,4.97,4,F,100,1,0.6227247162633995,0.34839901594443556,0.5220063149724423
