"","subid","list","trial.num","word","leftpic","rightpic","game","trial.type","leftpic.type","rightpic.type","side.chosen","pic.chosen","response","rt","agegroup"
"23","111015_1",1,2,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y",246,4
"24","111015_1",1,54,"cookie_pos","cookie_pos","cookie_inhib","inhibition","control","target","distractor","L","cookie_pos","Y",1644,4
"25","111015_1",1,9,"apple_pos","apple_neg","apple_pos","negation","positive","distractor","target","L","apple_neg","N",913,4
"26","111015_1",1,56,"cookie_pos","cookie_inhib","cookie_pos","inhibition","control","distractor","target","R","cookie_pos","Y",2160,4
"27","111015_1",1,20,"dog_inhib","dog_inhib","dog_pos","inhibition","inhib","target","distractor","L","dog_inhib","Y",2662,4
"28","111015_1",1,47,"cat_inhib","cat_inhib","cat_pos","inhibition","inhib","target","distractor","L","cat_inhib","Y",1861,4
"29","111015_1",1,48,"flower_pos","flower_inhib","flower_pos","inhibition","control","distractor","target","R","flower_pos","Y",1655,4
"30","111015_1",1,9,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","L","car_pos","Y",2003,4
"31","111015_1",1,50,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y",1638,4
"32","111015_1",1,51,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y",1942,4
"33","111015_1",1,28,"bird_neg","bird_pos","bird_neg","negation","negative","distractor","target","L","bird_pos","N",773,4
"34","111015_1",1,29,"teddybear_pos","teddybear_neg","teddybear_pos","negation","positive","distractor","target","R","teddybear_pos","Y",992,4
"35","111015_1",1,30,"cookie_neg","cookie_neg","cookie_pos","negation","negative","target","distractor","L","cookie_neg","Y",1270,4
"36","111015_1",1,31,"apple_neg","apple_pos","apple_neg","negation","negative","distractor","target","R","apple_neg","Y",791.999999999998,4
"37","111015_1",1,8,"lamp_neg","lamp_neg","lamp_pos","negation","negative","target","distractor","R","lamp_pos","N",818.999999999997,4
"38","111015_1",1,43,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","L","cat_inhib","N",1802,4
"39","111015_1",1,6,"apple_inhib","apple_pos","apple_inhib","inhibition","inhib","distractor","target","L","apple_pos","N",3373,4
"40","111015_1",1,7,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","R","car_inhib","N",1868,4
"41","111015_1",1,58,"cookie_pos","cookie_pos","cookie_inhib","inhibition","control","target","distractor","L","cookie_pos","Y",1904,4
"42","111015_1",1,59,"cookie_inhib","cookie_pos","cookie_inhib","inhibition","inhib","distractor","target","R","cookie_inhib","Y",1622,4
"43","111015_1",1,49,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y",1524,4
"44","111015_1",1,24,"teddybear_pos","teddybear_inhib","teddybear_pos","inhibition","control","distractor","target","R","teddybear_pos","Y",1684,4
"45","111015_1",1,25,"teddybear_pos","teddybear_pos","teddybear_inhib","inhibition","control","target","distractor","L","teddybear_pos","Y",1432,4
"46","111015_1",1,4,"cookie_pos","cookie_neg","cookie_pos","negation","positive","distractor","target","L","cookie_neg","N",1706,4
"47","111015_1",1,5,"car_neg","car_neg","car_pos","negation","negative","target","distractor","L","car_neg","Y",3115,4
"48","111015_1",1,6,"cup_neg","cup_neg","cup_pos","negation","negative","target","distractor","R","cup_pos","N",1579,4
"49","111015_1",1,66,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y",1790,4
"50","111015_1",1,42,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y",2431,4
"51","111015_1",1,54,"dog_control","dog_foil","dog_control","implicature","unambiguous","distractor","target","L","dog_foil","N",1105,4
"52","111015_1",1,55,"apple_implic","apple_implic","apple_control","implicature","implicature","target","distractor","R","apple_control","N",637,4
"53","111015_1",1,56,"bird_control","bird_control","bird_foil","implicature","unambiguous","target","distractor","L","bird_control","Y",395,4
"54","111015_1",1,44,"bicycle_control","bicycle_control","bicycle_foil","implicature","unambiguous","target","distractor","L","bicycle_control","Y",1046,4
"55","111015_1",1,45,"teddybear_control","teddybear_foil","teddybear_control","implicature","unambiguous","distractor","target","L","teddybear_foil","N",296,4
"56","111015_1",1,23,"teddybear_pos","teddybear_pos","teddybear_inhib","inhibition","control","target","distractor","L","teddybear_pos","Y",1619,4
"57","111015_1",1,11,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","L","car_inhib","N",45,4
"58","111015_1",1,48,"apple_control","apple_control","apple_foil","implicature","unambiguous","target","distractor","L","apple_control","Y",47,4
"59","111015_1",1,49,"lamp_implic","lamp_control","lamp_implic","implicature","implicature","distractor","target","R","lamp_implic","Y",1024,4
"60","111015_1",1,50,"car_control","car_control","car_foil","implicature","unambiguous","target","distractor","L","car_control","Y",793,4
"61","111015_1",1,51,"flower_control","flower_foil","flower_control","implicature","unambiguous","distractor","target","R","flower_control","Y",1058,4
"62","111015_1",1,52,"banana_implic","banana_implic","banana_control","implicature","implicature","target","distractor","L","banana_implic","Y",1525,4
"63","111015_1",1,53,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","R","cookie_control","N",802,4
"64","111015_1",1,46,"banana_neg","banana_pos","banana_neg","negation","negative","distractor","target","L","banana_pos","N",741.000000000001,4
"65","111015_1",1,67,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y",1498,4
"66","111015_1",1,68,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y",774,4
"67","111015_1",1,57,"cookie_pos","cookie_pos","cookie_inhib","inhibition","control","target","distractor","L","cookie_pos","Y",1652,4
"68","111015_1",1,58,"cup_implic","cup_implic","cup_control","implicature","implicature","target","distractor","L","cup_implic","Y",1347,4
"69","111015_1",1,8,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","R","car_inhib","N",1743,4
"70","111015_1",1,60,"cat_implic","cat_control","cat_implic","implicature","implicature","distractor","target","L","cat_control","N",1361,4
"71","111015_1",1,1,"dog_pos","dog_neg","dog_pos","negation","positive","distractor","target","R","dog_pos","Y",1796,4
"72","111015_1",1,2,"cat_neg","cat_pos","cat_neg","negation","negative","distractor","target","L","cat_pos","N",1506,4
"73","111015_1",1,3,"teddybear_neg","teddybear_pos","teddybear_neg","negation","negative","distractor","target","R","teddybear_neg","Y",1992,4
"74","111015_1",1,63,"lamp_pos","lamp_inhib","lamp_pos","inhibition","control","distractor","target","L","lamp_inhib","N",1003,4
"75","111015_1",1,64,"lamp_pos","lamp_pos","lamp_inhib","inhibition","control","target","distractor","L","lamp_pos","Y",1296,4
"76","111015_1",1,65,"lamp_inhib","lamp_pos","lamp_inhib","inhibition","inhib","distractor","target","R","lamp_inhib","Y",1232,4
"77","111015_1",1,3,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y",42,4
"78","111015_1",1,42,"cat_control","cat_control","cat_foil","implicature","unambiguous","target","distractor","L","cat_control","Y",122,4
"79","111015_1",1,41,"car_control","car_foil","car_control","implicature","unambiguous","distractor","target","L","car_foil","N",167,4
"80","111015_1",1,43,"flower_implic","flower_implic","flower_control","implicature","implicature","target","distractor","L","flower_implic","Y",129,4
"81","111015_1",1,45,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","L","cat_inhib","N",1387,4
"82","111015_1",1,59,"bicycle_control","bicycle_control","bicycle_foil","implicature","unambiguous","target","distractor","R","bicycle_foil","N",931,4
"83","111015_1",1,35,"bicycle_pos","bicycle_pos","bicycle_inhib","inhibition","control","target","distractor","L","bicycle_pos","Y",2183,4
"84","111015_1",1,24,"car_pos","car_neg","car_pos","negation","positive","distractor","target","L","car_neg","N",957,4
"85","111015_1",1,25,"car_neg","car_neg","car_pos","negation","negative","target","distractor","R","car_pos","N",982,4
"86","111015_1",1,26,"banana_pos","banana_neg","banana_pos","negation","positive","distractor","target","L","banana_neg","N",2413,4
"87","111015_1",1,27,"cat_pos","cat_pos","cat_neg","negation","positive","target","distractor","R","cat_neg","N",1037,4
"88","111015_1",1,8,"bicycle_implic","bicycle_implic","bicycle_control","implicature","implicature","target","distractor","L","bicycle_implic","Y",1328,4
"89","111015_1",1,9,"lamp_control","lamp_foil","lamp_control","implicature","unambiguous","distractor","target","R","lamp_control","Y",1278,4
"90","111015_1",1,10,"car_implic","car_implic","car_control","implicature","implicature","target","distractor","L","car_implic","Y",1184,4
"91","111015_1",1,11,"flower_control","flower_control","flower_foil","implicature","unambiguous","target","distractor","L","flower_control","Y",2470,4
"92","111015_1",1,32,"cup_neg","cup_pos","cup_neg","negation","negative","distractor","target","L","cup_pos","N",791.000000000001,4
"93","111015_1",1,33,"dog_neg","dog_neg","dog_pos","negation","negative","target","distractor","R","dog_pos","N",1014,4
"94","111015_1",1,57,"teddybear_implic","teddybear_implic","teddybear_control","implicature","implicature","target","distractor","R","teddybear_control","N",751,4
"95","111015_1",1,22,"dog_neg","dog_neg","dog_pos","negation","negative","target","distractor","L","dog_neg","Y",2252,4
"96","111015_1",1,23,"banana_pos","banana_neg","banana_pos","negation","positive","distractor","target","R","banana_pos","Y",956,4
"97","111015_1",1,37,"teddybear_pos","teddybear_neg","teddybear_pos","negation","positive","distractor","target","R","teddybear_pos","Y",1572,4
"98","111015_1",1,60,"lamp_pos","lamp_pos","lamp_inhib","inhibition","control","target","distractor","L","lamp_pos","Y",1609,4
"99","111015_1",1,61,"lamp_pos","lamp_pos","lamp_inhib","inhibition","control","target","distractor","L","lamp_pos","Y",1403,4
"100","111015_1",1,62,"lamp_pos","lamp_pos","lamp_inhib","inhibition","control","target","distractor","L","lamp_pos","Y",1165,4
"101","111015_1",1,21,"banana_implic","banana_control","banana_implic","implicature","implicature","distractor","target","L","banana_control","N",1765,4
"102","111015_1",1,22,"car_control","car_control","car_foil","implicature","unambiguous","target","distractor","R","car_foil","N",802,4
"103","111015_1",1,24,"teddybear_control","teddybear_control","teddybear_foil","implicature","unambiguous","target","distractor","L","teddybear_control","Y",3027,4
"104","111015_1",1,25,"bird_control","bird_foil","bird_control","implicature","unambiguous","distractor","target","R","bird_control","Y",2003,4
"105","111015_1",1,26,"banana_control","banana_foil","banana_control","implicature","unambiguous","distractor","target","L","banana_foil","N",1627,4
"106","111015_1",1,27,"apple_implic","apple_control","apple_implic","implicature","implicature","distractor","target","R","apple_implic","Y",3572,4
"107","111015_1",1,31,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y",1600,4
"108","111015_1",1,35,"flower_pos","flower_neg","flower_pos","negation","positive","distractor","target","R","flower_pos","Y",1106,4
"109","111015_1",1,36,"lamp_neg","lamp_neg","lamp_pos","negation","negative","target","distractor","L","lamp_neg","Y",1564,4
"110","111015_1",1,34,"banana_inhib","banana_inhib","banana_pos","inhibition","inhib","target","distractor","L","banana_inhib","Y",1721,4
"111","111015_1",1,12,"banana_pos","banana_neg","banana_pos","negation","positive","distractor","target","R","banana_pos","Y",1228,4
"112","111015_1",1,37,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y",1251,4
"113","111015_1",1,38,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y",4216,4
"114","111015_1",1,39,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y",268,4
"115","111015_1",1,40,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y",2228,4
"116","111015_1",1,4,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y",49,4
"117","111015_1",1,17,"lamp_pos","lamp_neg","lamp_pos","negation","positive","distractor","target","R","lamp_pos","Y",1088,4
"118","111015_1",1,18,"apple_pos","apple_pos","apple_neg","negation","positive","target","distractor","L","apple_pos","Y",1069,4
"119","111015_1",1,19,"bird_pos","bird_neg","bird_pos","negation","positive","distractor","target","R","bird_pos","Y",692,4
"120","111015_1",1,44,"cat_pos","cat_pos","cat_inhib","inhibition","control","target","distractor","R","cat_inhib","N",1522,4
"121","111015_1",1,1,"banana_control","banana_control","banana_foil","implicature","unambiguous","target","distractor","L","banana_control","Y",3420,4
"122","111015_1",1,2,"cup_control","cup_control","cup_foil","implicature","unambiguous","target","distractor","L","cup_control","Y",2555,4
"123","111015_1",1,3,"apple_implic","apple_control","apple_implic","implicature","implicature","distractor","target","R","apple_implic","Y",1888,4
"124","111015_1",1,4,"cat_control","cat_control","cat_foil","implicature","unambiguous","target","distractor","L","cat_control","Y",1573,4
"125","111015_1",1,5,"cookie_control","cookie_foil","cookie_control","implicature","unambiguous","distractor","target","R","cookie_control","Y",1299,4
"126","111015_1",1,6,"teddybear_implic","teddybear_implic","teddybear_control","implicature","implicature","target","distractor","L","teddybear_implic","Y",1549,4
"127","111015_1",1,7,"dog_control","dog_foil","dog_control","implicature","unambiguous","distractor","target","R","dog_control","Y",1440,4
"128","111015_1",1,40,"car_neg","car_pos","car_neg","negation","negative","distractor","target","L","car_pos","N",849,4
"129","111015_1",1,41,"lamp_neg","lamp_neg","lamp_pos","negation","negative","target","distractor","R","lamp_pos","N",742.999999999997,4
"130","111015_1",1,42,"cup_pos","cup_pos","cup_neg","negation","positive","target","distractor","L","cup_pos","Y",1427,4
"131","111015_1",1,43,"bicycle_neg","bicycle_neg","bicycle_pos","negation","negative","target","distractor","R","bicycle_pos","N",1174,4
"132","111015_1",1,12,"bird_implic","bird_implic","bird_control","implicature","implicature","target","distractor","R","bird_control","N",1525,4
"133","111015_1",1,13,"bicycle_control","bicycle_control","bicycle_foil","implicature","unambiguous","target","distractor","L","bicycle_control","Y",1456,4
"134","111015_1",1,34,"bicycle_neg","bicycle_pos","bicycle_neg","negation","negative","distractor","target","L","bicycle_pos","N",633.000000000001,4
"135","111015_1",1,15,"flower_implic","flower_implic","flower_control","implicature","implicature","target","distractor","L","flower_implic","Y",1060,4
"136","111015_1",1,16,"bird_control","bird_control","bird_foil","implicature","unambiguous","target","distractor","L","bird_control","Y",1419,4
"137","111015_1",1,17,"cat_implic","cat_implic","cat_control","implicature","implicature","target","distractor","L","cat_implic","Y",1688,4
"138","111015_1",1,18,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","R","cookie_control","N",909,4
"139","111015_1",1,19,"apple_control","apple_foil","apple_control","implicature","unambiguous","distractor","target","L","apple_foil","N",1215,4
"140","111015_1",1,20,"lamp_implic","lamp_implic","lamp_control","implicature","implicature","target","distractor","R","lamp_control","N",1282,4
"141","111015_1",1,14,"bicycle_neg","bicycle_neg","bicycle_pos","negation","negative","target","distractor","L","bicycle_neg","Y",851.000000000001,4
"142","111015_1",1,15,"cookie_pos","cookie_neg","cookie_pos","negation","positive","distractor","target","R","cookie_pos","Y",1628,4
"143","111015_1",1,41,"bicycle_inhib","bicycle_pos","bicycle_inhib","inhibition","inhib","distractor","target","R","bicycle_inhib","Y",291,4
"144","111015_1",1,1,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y",1507,4
"145","111015_1",1,44,"bird_neg","bird_neg","bird_pos","negation","negative","target","distractor","L","bird_neg","Y",767,4
"146","111015_1",1,45,"dog_neg","dog_neg","dog_pos","negation","negative","target","distractor","R","dog_pos","N",1209,4
"147","111015_1",1,28,"cat_implic","cat_control","cat_implic","implicature","implicature","distractor","target","R","cat_implic","Y",2246,4
"148","111015_1",1,32,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y",1593,4
"149","111015_1",1,33,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y",969,4
"150","111015_1",1,31,"bicycle_implic","bicycle_control","bicycle_implic","implicature","implicature","distractor","target","R","bicycle_implic","Y",2123,4
"151","111015_1",1,32,"cup_control","cup_control","cup_foil","implicature","unambiguous","target","distractor","L","cup_control","Y",1783,4
"152","111015_1",1,36,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y",2655,4
"153","111015_1",1,13,"flower_pos","flower_pos","flower_neg","negation","positive","target","distractor","R","flower_neg","N",275,4
"154","111015_1",1,39,"cat_neg","cat_pos","cat_neg","negation","negative","distractor","target","R","cat_neg","Y",936.000000000001,4
"155","111015_1",1,35,"lamp_implic","lamp_control","lamp_implic","implicature","implicature","distractor","target","L","lamp_control","N",1385,4
"156","111015_1",1,36,"dog_control","dog_foil","dog_control","implicature","unambiguous","distractor","target","R","dog_control","Y",1185,4
"157","111015_1",1,16,"cat_pos","cat_pos","cat_neg","negation","positive","target","distractor","L","cat_pos","Y",1593,4
"158","111015_1",1,40,"lamp_implic","lamp_control","lamp_implic","implicature","implicature","distractor","target","L","lamp_control","N",137,4
"159","111015_1",1,77,"cup_pos","cup_inhib","cup_pos","inhibition","control","distractor","target","L","cup_inhib","N",1129,4
"160","111015_1",1,78,"cup_pos","cup_inhib","cup_pos","inhibition","control","distractor","target","R","cup_pos","Y",1447,4
"161","111015_1",1,20,"cup_neg","cup_neg","cup_pos","negation","negative","target","distractor","L","cup_neg","Y",799.000000000001,4
"162","111015_1",1,21,"teddybear_neg","teddybear_neg","teddybear_pos","negation","negative","target","distractor","L","teddybear_neg","Y",1910,4
"163","111015_1",1,49,"cup_pos","cup_pos","cup_neg","negation","positive","target","distractor","L","cup_pos","Y",293,4
"164","111015_1",1,46,"cup_implic","cup_implic","cup_control","implicature","implicature","target","distractor","L","cup_implic","Y",46,4
"165","111015_1",1,47,"dog_implic","dog_control","dog_implic","implicature","implicature","distractor","target","L","dog_control","N",45,4
"166","111015_1",1,38,"flower_neg","flower_pos","flower_neg","negation","negative","distractor","target","L","flower_pos","N",848,4
"167","111015_1",1,34,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","R","cookie_control","N",1220,4
"168","111015_1",1,70,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y",1394,4
"169","111015_1",1,71,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","L","bird_inhib","N",3482,4
"170","111015_1",1,72,"bird_inhib","bird_inhib","bird_pos","inhibition","inhib","target","distractor","L","bird_inhib","Y",1848,4
"171","111015_1",1,23,"cup_control","cup_foil","cup_control","implicature","unambiguous","distractor","target","L","cup_foil","N",4029,4
"172","111015_1",1,60,"cookie_neg","cookie_pos","cookie_neg","negation","negative","distractor","target","R","cookie_neg","Y",1758,4
"173","111015_1",1,39,"banana_implic","banana_control","banana_implic","implicature","implicature","distractor","target","R","banana_implic","Y",518,4
"174","111015_1",1,47,"cookie_pos","cookie_pos","cookie_neg","negation","positive","target","distractor","R","cookie_neg","N",2418,4
"175","111015_1",1,14,"dog_implic","dog_implic","dog_control","implicature","implicature","target","distractor","L","dog_implic","Y",1602,4
"176","111015_1",1,51,"car_pos","car_pos","car_neg","negation","positive","target","distractor","L","car_pos","Y",45,4
"177","111015_1",1,10,"bird_neg","bird_pos","bird_neg","negation","negative","distractor","target","R","bird_neg","Y",696,4
"178","111015_1",1,11,"flower_pos","flower_neg","flower_pos","negation","positive","distractor","target","L","flower_neg","N",962,4
"179","111015_1",1,33,"car_control","car_control","car_foil","implicature","unambiguous","target","distractor","L","car_control","Y",1511,4
"180","111015_1",1,59,"flower_pos","flower_neg","flower_pos","negation","positive","distractor","target","R","flower_pos","Y",1238,4
"181","111015_1",1,37,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","L","cookie_implic","Y",944,4
"182","111015_1",1,38,"bird_implic","bird_implic","bird_control","implicature","implicature","target","distractor","R","bird_control","N",753,4
"183","111015_1",1,52,"apple_neg","apple_neg","apple_pos","negation","negative","target","distractor","R","apple_pos","N",1626,4
"184","111015_1",1,48,"apple_pos","apple_pos","apple_neg","negation","positive","target","distractor","L","apple_pos","Y",1490,4
"185","111015_1",1,73,"cup_pos","cup_inhib","cup_pos","inhibition","control","distractor","target","R","cup_pos","Y",1322,4
"186","111015_1",1,29,"flower_control","flower_foil","flower_control","implicature","unambiguous","distractor","target","R","flower_control","Y",3588,4
"187","111015_1",1,58,"cat_pos","cat_pos","cat_neg","negation","positive","target","distractor","L","cat_pos","Y",2307,4
"188","111015_1",1,69,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y",735,4
"189","111015_1",1,79,"cup_inhib","cup_inhib","cup_pos","inhibition","inhib","target","distractor","L","cup_inhib","Y",1739,4
"190","111015_1",1,54,"banana_neg","banana_neg","banana_pos","negation","negative","target","distractor","R","banana_pos","N",702.000000000001,4
"191","111015_1",1,50,"teddybear_pos","teddybear_pos","teddybear_neg","negation","positive","target","distractor","L","teddybear_pos","Y",44,4
"192","111015_1",1,76,"cup_pos","cup_pos","cup_inhib","inhibition","control","target","distractor","L","cup_pos","Y",2230,4
"193","111015_1",1,30,"teddybear_control","teddybear_foil","teddybear_control","implicature","unambiguous","distractor","target","R","teddybear_control","Y",2812,4
"194","111015_1",1,53,"dog_pos","dog_neg","dog_pos","negation","positive","distractor","target","L","dog_neg","N",1355,4
"195","111015_1",1,74,"cup_pos","cup_inhib","cup_pos","inhibition","control","distractor","target","R","cup_pos","Y",2003,4
"196","111015_1",1,75,"cup_pos","cup_pos","cup_inhib","inhibition","control","target","distractor","L","cup_pos","Y",1405,4
"197","111015_1",1,57,"bicycle_neg","bicycle_pos","bicycle_neg","negation","negative","distractor","target","R","bicycle_neg","Y",1614,4
"198","111015_1",1,56,"lamp_pos","lamp_pos","lamp_neg","negation","positive","target","distractor","L","lamp_pos","Y",295,4
"199","111015_1",1,55,"bird_pos","bird_pos","bird_neg","negation","positive","target","distractor","L","bird_pos","Y",899,4
"200","111015_3",1,3,"apple_control","apple_control","apple_foil","implicature","unambiguous","target","distractor","L","apple_control","Y",9358,3
"201","111015_3",1,37,"bicycle_pos","bicycle_pos","bicycle_inhib","inhibition","control","target","distractor","L","bicycle_pos","Y",7991,3
"202","111015_3",1,1,"banana_implic","banana_implic","banana_control","implicature","implicature","target","distractor","L","banana_implic","Y",3243,3
"203","111015_3",1,5,"apple_pos","apple_inhib","apple_pos","inhibition","control","distractor","target","R","apple_pos","Y",4908,3
"204","111015_3",1,36,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y",4208,3
"205","111015_3",1,38,"bicycle_inhib","bicycle_pos","bicycle_inhib","inhibition","inhib","distractor","target","R","bicycle_inhib","Y",3593,3
"206","111015_3",1,8,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","L","car_pos","Y",2924,3
"207","111015_3",1,9,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","R","car_pos","Y",6691,3
"208","111015_3",1,2,"cup_control","cup_control","cup_foil","implicature","unambiguous","target","distractor","L","cup_control","Y",10757,3
"209","111015_3",1,6,"cup_neg","cup_neg","cup_pos","negation","negative","target","distractor","L","cup_neg","Y",11195,3
"210","111015_3",1,4,"cat_implic","cat_control","cat_implic","implicature","implicature","distractor","target","R","cat_implic","Y",4862,3
"211","111015_3",1,5,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","L","cookie_implic","Y",3094,3
"212","111015_3",1,2,"cat_neg","cat_neg","cat_pos","negation","negative","target","distractor","L","cat_neg","Y",9054,3
"213","111015_3",1,35,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y",2544,3
"214","111015_3",1,3,"apple_pos","apple_inhib","apple_pos","inhibition","control","distractor","target","R","apple_pos","Y",4755,3
"215","111015_3",1,4,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y",2979,3
"216","111015_3",1,33,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y",2642,3
"217","111015_3",1,34,"bicycle_pos","bicycle_pos","bicycle_inhib","inhibition","control","target","distractor","L","bicycle_pos","Y",12254,3
"218","111015_3",1,4,"cookie_neg","cookie_pos","cookie_neg","negation","negative","distractor","target","R","cookie_neg","Y",3137,3
"219","111015_3",1,5,"car_pos","car_pos","car_neg","negation","positive","target","distractor","L","car_pos","Y",8698,3
"220","111015_3",1,12,"car_inhib","car_inhib","car_pos","inhibition","inhib","target","distractor","L","car_inhib","Y",5875,3
"221","111015_3",1,10,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","R","car_pos","Y",2762,3
"222","111015_3",1,20,"teddybear_pos","teddybear_inhib","teddybear_pos","inhibition","control","distractor","target","R","teddybear_pos","Y",3658,3
"223","111015_3",1,11,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","L","car_pos","Y",3160,3
"224","111015_3",1,29,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y",2360,3
