study name,subid,list,gender,hisp,ethnicity,english,numlang,parented,othered,premie,video consent,age,agegroup
Neginhib,111515_2,2,F,no,white,75,3,6,6,0,yes,4.64,4
Neginhib,111515_3,1,F,no,white,75,3,6,6,0,yes,5.95,5
Neginhib,111515_4,2,F,no,white,100,1,6,4,0,yes,4.41,4
Neginhib,111515_5,1,F,no,white,95,2,6,6,0,yes,2.46,2
Neginhib,111515_6,2,F,yes,other,95,1,6,4,0,yes,5.38,5
Neginhib,111515_7,1,F,no,asian,100,1,4,6,0,yes,6.41,6
Neginhib,111515_8,2,M,no,asian,100,1,4,6,0,yes,6.41,6
Neginhib,111715_1,1,M,no,american indiaNAlaskan native,100,2,3,2,0,yes,4.49,4
Neginhib,111715_2,2,M,no,white,95,2,6,3,0,yes,4.39,4
Neginhib,111715_3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neginhib,111715_4,2,F,no,white,95,1,4,4,0,no,5.56,5
Neginhib,111815_1,1,F,no,white,100,1,3,2,0,yes,7.00,7
Neginhib,111815_2,2,M,no,white,100,1,3,2,0,yes,4.99,4
Neginhib,111815_3,1,M,no,white,100,1,3,2,0,yes,3.72,3
Neginhib,111815_4,2,M,yes,hispanic/middle eastern,95,2,4,3,1,yes,6.10,6
Neginhib,111815_5,1,M,yes,hispanic/middle eastern,95,2,4,3,1,yes,6.10,6
Neginhib,111915_1,1,F,no,white,100,1,6,4,0,yes,6.65,6
Neginhib,111915_2,2,M,no,asian,100,1,4,6,0,yes,7.58,7
Neginhib,111915_3,1,F,no,asian,100,1,4,6,0,yes,5.36,5
Neginhib,112015_1,1,F,no,white,100,1,6,6,0,yes,4.79,4
Neginhib,112015_2,2,F,no,white,100,2,6,6,0,yes,3.16,3
Neginhib,112015_3,1,F,no,white,100,2,6,6,0,yes,6.60,6
Neginhib,112015_4,2,F,no,white,100,2,6,6,0,yes,4.51,4
Neginhib,112015_5,1,M,yes,mexican/ italian,95,2,4,4,0,yes,2.51,2
Neginhib,112015_6,2,F,no,asian,95,2,6,6,0,yes,9.15,9
Neginhib,112015_7,1,M,no,asian,95,2,6,6,1,yes,6.00,6
Neginhib,112015_8,2,F,no,white,100,1,6,6,0,yes,3.86,3
Neginhib,112015_9,1,M,no,white,100,1,6,6,0,yes,6.27,6
Neginhib,112015_10,2,F,no,asian,75,3,6,6,0,no,4.00,4
Neginhib,112015_11,1,F,no,white/asian/black or african american,100,1,3,3,0,yes,5.32,5
Neginhib,112415_1,1,M,yes,hispanic ,100,2,NA,2,NA,no,4.90,4
Neginhib,112415_2,2,M,no,asian,95,2,6,6,1,yes,8.55,8
Neginhib,112415_3,1,F,no,asian,95,2,6,6,0,yes,5.16,5
Neginhib,112415_4,2,F,no,asian,100,3,6,6,0,yes,8.52,8
Neginhib,112415_5,1,M,no,asian,100,3,6,6,0,yes,6.08,6
Neginhib,112515_1,1,M,yes,hispanic,95,2,6,6,0,no,9.90,9
Neginhib,112515_2,2,F,no,asian,100,2,6,6,0,yes,6.81,6
Neginhib,112515_3,1,F,no,asian,95,2,6,6,0,yes,3.47,3
Neginhib,112515_4,2,M,no,asian,95,2,6,6,0,no,9.39,9
Neginhib,112515_5,1,M,no,asian,100,2,6,6,0,yes,10.87,10
Neginhib,112515_6,2,M ,no,asian,100,1,6,6,0,yes,8.37,8
Neginhib,112515_7,1,M,yes,white,50,2,5,NA,0,yes,6.63,6
Neginhib,112515_8,2,F,yes,hispanic,50,2,5,NA,0,yes,7.48,7
Neginhib,112515_9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neginhib,112715_1,1,M,no,asian/white,100,1,4,4,0,yes,6.08,6
Neginhib,112715_2,2,M,no,white,95,3,3,3,0,yes,6.92,6
Neginhib,112715_3,1,M,no,white,100,1,6,6,0,yes,4.61,4
Neginhib,112715_4,2,F,yes,white,95,2,2,2,0,no,4.52,4
Neginhib,112715_5,1,F,yes,white,100,1,6,4,0,no,7.48,7
Neginhib,112715_6,2,M,yes,white,95,2,3,3,0,yes,4.42,4
Neginhib,112715_7,1,F,no,white,100,2,3,NA,0,yes,7.28,7
Neginhib,112715_8,2,F,no,asian ,75,3,4,4,0,yes,3.08,3
Neginhib,112715_9,1,M,no,white/black,100,1,3,NA,0,yes,3.74,3
