"","subid","list","game.order","trial.num","word","leftpic","rightpic","game","trial.type","leftpic.type","rightpic.type","side.chosen","pic.chosen","response","date","timestamp","rt","age","agegroup","gender"
"21","072715-01",1,6,25,"car_neg","car_pos","car_neg","negation","negative","distractor","target","R","car_neg","Y","7/27/2015","9:22",1300,4.29,4,"F"
"22","072715-01",1,6,26,"banana_pos","banana_pos","banana_neg","negation","positive","target","distractor","R","banana_neg","N","7/27/2015","9:22",1117,4.29,4,"F"
"23","072715-01",1,6,27,"cat_pos","cat_neg","cat_pos","negation","positive","distractor","target","R","cat_pos","Y","7/27/2015","9:22",1416,4.29,4,"F"
"24","072715-01",1,6,28,"bird_pos","bird_neg","bird_pos","negation","positive","distractor","target","R","bird_pos","Y","7/27/2015","9:22",1766,4.29,4,"F"
"25","072715-01",1,6,29,"teddybear_neg","teddybear_pos","teddybear_neg","negation","negative","distractor","target","R","teddybear_neg","Y","7/27/2015","9:22",1494,4.29,4,"F"
"26","072715-01",1,6,30,"cookie_pos","cookie_pos","cookie_neg","negation","positive","target","distractor","L","cookie_pos","Y","7/27/2015","9:22",2231,4.29,4,"F"
"27","072715-01",1,6,31,"apple_neg","apple_neg","apple_pos","negation","negative","target","distractor","L","apple_neg","Y","7/27/2015","9:22",1676,4.29,4,"F"
"28","072715-01",1,6,32,"cup_pos","cup_neg","cup_pos","negation","positive","distractor","target","R","cup_pos","Y","7/27/2015","9:22",1546,4.29,4,"F"
"29","072715-01",1,6,33,"dog_pos","dog_neg","dog_pos","negation","positive","distractor","target","R","dog_pos","Y","7/27/2015","9:22",1637,4.29,4,"F"
"30","072715-01",1,6,34,"bicycle_neg","bicycle_pos","bicycle_neg","negation","negative","distractor","target","L","bicycle_pos","N","7/27/2015","9:22",1544,4.29,4,"F"
"31","072715-01",1,6,35,"flower_pos","flower_pos","flower_neg","negation","positive","target","distractor","R","flower_neg","N","7/27/2015","9:22",1523,4.29,4,"F"
"32","072715-01",1,6,36,"lamp_neg","lamp_neg","lamp_pos","negation","negative","target","distractor","L","lamp_neg","Y","7/27/2015","9:22",1527,4.29,4,"F"
"33","072715-01",1,6,37,"teddybear_pos","teddybear_pos","teddybear_neg","negation","positive","target","distractor","L","teddybear_pos","Y","7/27/2015","9:22",2339,4.29,4,"F"
"34","072715-01",1,6,38,"flower_neg","flower_neg","flower_pos","negation","negative","target","distractor","L","flower_neg","Y","7/27/2015","9:22",2200,4.29,4,"F"
"35","072715-01",1,6,39,"cat_neg","cat_pos","cat_neg","negation","negative","distractor","target","R","cat_neg","Y","7/27/2015","9:22",1797,4.29,4,"F"
"36","072715-01",1,6,40,"car_neg","car_pos","car_neg","negation","negative","distractor","target","R","car_neg","Y","7/27/2015","9:22",1433,4.29,4,"F"
"37","072715-01",1,6,41,"lamp_pos","lamp_pos","lamp_neg","negation","positive","target","distractor","L","lamp_pos","Y","7/27/2015","9:22",1593,4.29,4,"F"
"38","072715-01",1,6,42,"cup_neg","cup_neg","cup_pos","negation","negative","target","distractor","L","cup_neg","Y","7/27/2015","9:22",1542,4.29,4,"F"
"39","072715-01",1,6,43,"bicycle_neg","bicycle_pos","bicycle_neg","negation","negative","distractor","target","R","bicycle_neg","Y","7/27/2015","9:22",1443,4.29,4,"F"
"40","072715-01",1,6,44,"bird_pos","bird_pos","bird_neg","negation","positive","target","distractor","L","bird_pos","Y","7/27/2015","9:22",2049,4.29,4,"F"
"41","072715-01",1,6,5,"car_pos","car_pos","car_neg","negation","positive","target","distractor","L","car_pos","Y","7/27/2015","9:22",1464,4.29,4,"F"
"42","072715-01",1,6,6,"cup_neg","cup_neg","cup_pos","negation","negative","target","distractor","R","cup_pos","N","7/27/2015","9:22",2682,4.29,4,"F"
"43","072715-01",1,6,7,"bicycle_neg","bicycle_pos","bicycle_neg","negation","negative","distractor","target","R","bicycle_neg","Y","7/27/2015","9:22",5675,4.29,4,"F"
"44","072715-01",1,6,8,"lamp_neg","lamp_pos","lamp_neg","negation","negative","distractor","target","R","lamp_neg","Y","7/27/2015","9:22",2090,4.29,4,"F"
"45","072715-01",1,6,49,"cup_neg","cup_neg","cup_pos","negation","negative","target","distractor","L","cup_neg","Y","7/27/2015","9:22",2445,4.29,4,"F"
"46","072715-01",1,6,50,"teddybear_pos","teddybear_pos","teddybear_neg","negation","positive","target","distractor","L","teddybear_pos","Y","7/27/2015","9:22",1552,4.29,4,"F"
"47","072715-01",1,6,51,"car_pos","car_neg","car_pos","negation","positive","distractor","target","R","car_pos","Y","7/27/2015","9:22",1979,4.29,4,"F"
"48","072715-01",1,6,52,"apple_pos","apple_pos","apple_neg","negation","positive","target","distractor","L","apple_pos","Y","7/27/2015","9:22",1923,4.29,4,"F"
"49","072715-01",1,6,53,"dog_neg","dog_pos","dog_neg","negation","negative","distractor","target","R","dog_neg","Y","7/27/2015","9:22",2979,4.29,4,"F"
"50","072715-01",1,6,54,"banana_pos","banana_pos","banana_neg","negation","positive","target","distractor","L","banana_pos","Y","7/27/2015","9:22",2380,4.29,4,"F"
"51","072715-01",1,6,55,"bird_neg","bird_neg","bird_pos","negation","negative","target","distractor","R","bird_pos","N","7/27/2015","9:22",1353,4.29,4,"F"
"52","072715-01",1,6,56,"lamp_pos","lamp_pos","lamp_neg","negation","positive","target","distractor","L","lamp_pos","Y","7/27/2015","9:22",1765,4.29,4,"F"
"53","072715-01",1,6,57,"bicycle_neg","bicycle_neg","bicycle_pos","negation","negative","target","distractor","L","bicycle_neg","Y","7/27/2015","9:22",2256,4.29,4,"F"
"54","072715-01",1,6,58,"cat_neg","cat_pos","cat_neg","negation","negative","distractor","target","R","cat_neg","Y","7/27/2015","9:22",4199,4.29,4,"F"
"55","072715-01",1,6,59,"flower_pos","flower_pos","flower_neg","negation","positive","target","distractor","L","flower_pos","Y","7/27/2015","9:22",2885,4.29,4,"F"
"56","072715-01",1,6,60,"cookie_neg","cookie_pos","cookie_neg","negation","negative","distractor","target","R","cookie_neg","Y","7/27/2015","9:22",1902,4.29,4,"F"
"57","072715-01",1,6,1,"banana_control","banana_control","banana_foil","implicature","unambiguous","target","distractor","L","banana_control","Y","7/27/2015","9:22",3326,4.29,4,"F"
"58","072715-01",1,6,2,"cup_implic","cup_implic","cup_control","implicature","implicature","target","distractor","R","cup_control","N","7/27/2015","9:22",3658,4.29,4,"F"
"59","072715-01",1,6,3,"apple_implic","apple_control","apple_implic","implicature","implicature","distractor","target","L","apple_control","N","7/27/2015","9:22",2377,4.29,4,"F"
"60","072715-01",1,6,4,"cat_implic","cat_implic","cat_control","implicature","implicature","target","distractor","R","cat_control","N","7/27/2015","9:22",2529,4.29,4,"F"
"61","072715-01",1,6,5,"cookie_control","cookie_control","cookie_foil","implicature","unambiguous","target","distractor","L","cookie_control","Y","7/27/2015","9:22",2097,4.29,4,"F"
"62","072715-01",1,6,6,"teddybear_implic","teddybear_control","teddybear_implic","implicature","implicature","distractor","target","R","teddybear_implic","Y","7/27/2015","9:22",1953,4.29,4,"F"
"63","072715-01",1,6,7,"dog_control","dog_foil","dog_control","implicature","unambiguous","distractor","target","R","dog_control","Y","7/27/2015","9:22",3044,4.29,4,"F"
"64","072715-01",1,6,8,"bicycle_control","bicycle_foil","bicycle_control","implicature","unambiguous","distractor","target","R","bicycle_control","Y","7/27/2015","9:22",2419,4.29,4,"F"
"65","072715-01",1,6,9,"lamp_control","lamp_foil","lamp_control","implicature","unambiguous","distractor","target","R","lamp_control","Y","7/27/2015","9:22",2636,4.29,4,"F"
"66","072715-01",1,6,10,"car_implic","car_control","car_implic","implicature","implicature","distractor","target","L","car_control","N","7/27/2015","9:22",3134,4.29,4,"F"
"67","072715-01",1,6,11,"flower_implic","flower_control","flower_implic","implicature","implicature","distractor","target","R","flower_implic","Y","7/27/2015","9:22",4419,4.29,4,"F"
"68","072715-01",1,6,12,"bird_control","bird_control","bird_foil","implicature","unambiguous","target","distractor","L","bird_control","Y","7/27/2015","9:22",3861,4.29,4,"F"
"69","072715-01",1,6,13,"bicycle_control","bicycle_foil","bicycle_control","implicature","unambiguous","distractor","target","R","bicycle_control","Y","7/27/2015","9:22",2548,4.29,4,"F"
"70","072715-01",1,6,14,"dog_implic","dog_control","dog_implic","implicature","implicature","distractor","target","R","dog_implic","Y","7/27/2015","9:22",3658,4.29,4,"F"
"71","072715-01",1,6,15,"flower_control","flower_foil","flower_control","implicature","unambiguous","distractor","target","R","flower_control","Y","7/27/2015","9:22",2747,4.29,4,"F"
"72","072715-01",1,6,16,"bird_implic","bird_control","bird_implic","implicature","implicature","distractor","target","R","bird_implic","Y","7/27/2015","9:22",1636,4.29,4,"F"
"73","072715-01",1,6,17,"cat_implic","cat_control","cat_implic","implicature","implicature","distractor","target","R","cat_implic","Y","7/27/2015","9:22",2058,4.29,4,"F"
"74","072715-01",1,6,18,"cookie_implic","cookie_control","cookie_implic","implicature","implicature","distractor","target","R","cookie_implic","Y","7/27/2015","9:22",1965,4.29,4,"F"
"75","072715-01",1,6,19,"apple_control","apple_foil","apple_control","implicature","unambiguous","distractor","target","R","apple_control","Y","7/27/2015","9:22",2158,4.29,4,"F"
"76","072715-01",1,6,20,"lamp_control","lamp_foil","lamp_control","implicature","unambiguous","distractor","target","R","lamp_control","Y","7/27/2015","9:22",1982,4.29,4,"F"
"77","072715-01",1,6,21,"banana_control","banana_foil","banana_control","implicature","unambiguous","distractor","target","R","banana_control","Y","7/27/2015","9:22",2999,4.29,4,"F"
"78","072715-01",1,6,22,"car_implic","car_control","car_implic","implicature","implicature","distractor","target","R","car_implic","Y","7/27/2015","9:22",2273,4.29,4,"F"
"79","072715-01",1,6,23,"cup_implic","cup_control","cup_implic","implicature","implicature","distractor","target","L","cup_control","N","7/27/2015","9:22",2496,4.29,4,"F"
"80","072715-01",1,6,24,"teddybear_control","teddybear_foil","teddybear_control","implicature","unambiguous","distractor","target","R","teddybear_control","Y","7/27/2015","9:22",2697,4.29,4,"F"
"81","072715-01",1,6,45,"dog_neg","dog_pos","dog_neg","negation","negative","distractor","target","R","dog_neg","Y","7/27/2015","9:22",2219,4.29,4,"F"
"82","072715-01",1,6,46,"banana_neg","banana_pos","banana_neg","negation","negative","distractor","target","R","banana_neg","Y","7/27/2015","9:22",2294,4.29,4,"F"
"83","072715-01",1,6,47,"cookie_neg","cookie_neg","cookie_pos","negation","negative","target","distractor","L","cookie_neg","Y","7/27/2015","9:22",1752,4.29,4,"F"
"84","072715-01",1,6,48,"apple_neg","apple_neg","apple_pos","negation","negative","target","distractor","L","apple_neg","Y","7/27/2015","9:22",2343,4.29,4,"F"
"85","072715-01",1,6,29,"flower_implic","flower_control","flower_implic","implicature","implicature","distractor","target","R","flower_implic","Y","7/27/2015","9:22",1636,4.29,4,"F"
"86","072715-01",1,6,30,"teddybear_implic","teddybear_control","teddybear_implic","implicature","implicature","distractor","target","R","teddybear_implic","Y","7/27/2015","9:22",1735,4.29,4,"F"
"87","072715-01",1,6,31,"bicycle_control","bicycle_foil","bicycle_control","implicature","unambiguous","distractor","target","R","bicycle_control","Y","7/27/2015","9:22",1467,4.29,4,"F"
"88","072715-01",1,6,32,"cup_implic","cup_implic","cup_control","implicature","implicature","target","distractor","R","cup_control","N","7/27/2015","9:22",2260,4.29,4,"F"
"89","072715-01",1,6,33,"car_control","car_foil","car_control","implicature","unambiguous","distractor","target","R","car_control","Y","7/27/2015","9:22",2211,4.29,4,"F"
"90","072715-01",1,6,34,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","R","cookie_control","N","7/27/2015","9:22",2885,4.29,4,"F"
"91","072715-01",1,6,35,"lamp_control","lamp_foil","lamp_control","implicature","unambiguous","distractor","target","R","lamp_control","Y","7/27/2015","9:22",2706,4.29,4,"F"
"92","072715-01",1,6,36,"dog_implic","dog_control","dog_implic","implicature","implicature","distractor","target","R","dog_implic","Y","7/27/2015","9:22",2606,4.29,4,"F"
"93","072715-01",1,6,38,"bird_implic","bird_implic","bird_control","implicature","implicature","target","distractor","L","bird_implic","Y","7/27/2015","9:22",1885,4.29,4,"F"
"94","072715-01",1,6,39,"banana_implic","banana_control","banana_implic","implicature","implicature","distractor","target","L","banana_control","N","7/27/2015","9:22",1884,4.29,4,"F"
"95","072715-01",1,6,37,"cookie_control","cookie_control","cookie_foil","implicature","unambiguous","target","distractor","L","cookie_control","Y","7/27/2015","9:22",2300,4.29,4,"F"
"96","072715-01",1,6,40,"lamp_control","lamp_foil","lamp_control","implicature","unambiguous","distractor","target","R","lamp_control","Y","7/27/2015","9:22",1793,4.29,4,"F"
"97","072715-01",1,6,41,"car_control","car_control","car_foil","implicature","unambiguous","target","distractor","L","car_control","Y","7/27/2015","9:22",2251,4.29,4,"F"
"98","072715-01",1,6,42,"cat_implic","cat_implic","cat_control","implicature","implicature","target","distractor","R","cat_control","N","7/27/2015","9:22",2281,4.29,4,"F"
"99","072715-01",1,6,43,"flower_control","flower_control","flower_foil","implicature","unambiguous","target","distractor","L","flower_control","Y","7/27/2015","9:22",2380,4.29,4,"F"
"100","072715-01",1,6,44,"bicycle_implic","bicycle_control","bicycle_implic","implicature","implicature","distractor","target","R","bicycle_implic","Y","7/27/2015","9:22",2032,4.29,4,"F"
"101","072715-01",1,6,45,"teddybear_implic","teddybear_control","teddybear_implic","implicature","implicature","distractor","target","R","teddybear_implic","Y","7/27/2015","9:22",2210,4.29,4,"F"
"102","072715-01",1,6,46,"cup_implic","cup_implic","cup_control","implicature","implicature","target","distractor","R","cup_control","N","7/27/2015","9:22",1903,4.29,4,"F"
"103","072715-01",1,6,47,"dog_control","dog_foil","dog_control","implicature","unambiguous","distractor","target","R","dog_control","Y","7/27/2015","9:22",2895,4.29,4,"F"
"104","072715-01",1,6,48,"apple_control","apple_foil","apple_control","implicature","unambiguous","distractor","target","R","apple_control","Y","7/27/2015","9:22",2427,4.29,4,"F"
"105","072715-01",1,6,49,"lamp_control","lamp_foil","lamp_control","implicature","unambiguous","distractor","target","R","lamp_control","Y","7/27/2015","9:22",2519,4.29,4,"F"
"106","072715-01",1,6,50,"car_control","car_control","car_foil","implicature","unambiguous","target","distractor","L","car_control","Y","7/27/2015","9:22",1943,4.29,4,"F"
"107","072715-01",1,6,51,"flower_control","flower_control","flower_foil","implicature","unambiguous","target","distractor","L","flower_control","Y","7/27/2015","9:22",2102,4.29,4,"F"
"108","072715-01",1,6,52,"banana_control","banana_control","banana_foil","implicature","unambiguous","target","distractor","L","banana_control","Y","7/27/2015","9:22",2180,4.29,4,"F"
"109","072715-01",1,6,53,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","R","cookie_control","N","7/27/2015","9:22",2495,4.29,4,"F"
"110","072715-01",1,6,54,"dog_implic","dog_control","dog_implic","implicature","implicature","distractor","target","R","dog_implic","Y","7/27/2015","9:22",1983,4.29,4,"F"
"111","072715-01",1,6,55,"apple_implic","apple_control","apple_implic","implicature","implicature","distractor","target","L","apple_control","N","7/27/2015","9:22",1983,4.29,4,"F"
"112","072715-01",1,6,56,"bird_control","bird_control","bird_foil","implicature","unambiguous","target","distractor","L","bird_control","Y","7/27/2015","9:22",2182,4.29,4,"F"
"113","072715-01",1,6,57,"teddybear_implic","teddybear_implic","teddybear_control","implicature","implicature","target","distractor","R","teddybear_control","N","7/27/2015","9:22",1953,4.29,4,"F"
"114","072715-01",1,6,58,"cup_implic","cup_implic","cup_control","implicature","implicature","target","distractor","R","cup_control","N","7/27/2015","9:22",2162,4.29,4,"F"
"115","072715-01",1,6,59,"bicycle_control","bicycle_foil","bicycle_control","implicature","unambiguous","distractor","target","R","bicycle_control","Y","7/27/2015","9:22",2485,4.29,4,"F"
"116","072715-01",1,6,60,"cat_control","cat_foil","cat_control","implicature","unambiguous","distractor","target","R","cat_control","Y","7/27/2015","9:22",2170,4.29,4,"F"
"117","072715-01",1,6,1,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y","7/27/2015","9:22",1995,4.29,4,"F"
"118","072715-01",1,6,2,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y","7/27/2015","9:22",1310,4.29,4,"F"
"119","072715-01",1,6,3,"apple_pos","apple_inhib","apple_pos","inhibition","control","distractor","target","R","apple_pos","Y","7/27/2015","9:22",1042,4.29,4,"F"
"120","072715-01",1,6,4,"apple_pos","apple_inhib","apple_pos","inhibition","control","distractor","target","R","apple_pos","Y","7/27/2015","9:22",843,4.29,4,"F"
"121","072715-01",1,6,5,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y","7/27/2015","9:22",1182,4.29,4,"F"
"122","072715-01",1,6,6,"apple_inhib","apple_pos","apple_inhib","inhibition","inhib","distractor","target","R","apple_inhib","Y","7/27/2015","9:22",1364,4.29,4,"F"
"123","072715-01",1,6,7,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","R","car_pos","Y","7/27/2015","9:22",1053,4.29,4,"F"
"124","072715-01",1,6,8,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","L","car_pos","Y","7/27/2015","9:22",1280,4.29,4,"F"
"125","072715-01",1,6,9,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","R","car_pos","Y","7/27/2015","9:22",839,4.29,4,"F"
"126","072715-01",1,6,10,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","R","car_pos","Y","7/27/2015","9:22",914,4.29,4,"F"
"127","072715-01",1,6,11,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","R","car_pos","Y","7/27/2015","9:22",892,4.29,4,"F"
"128","072715-01",1,6,12,"car_inhib","car_pos","car_inhib","inhibition","inhib","distractor","target","R","car_inhib","Y","7/27/2015","9:22",1429,4.29,4,"F"
"129","072715-01",1,6,13,"dog_pos","dog_pos","dog_inhib","inhibition","control","target","distractor","L","dog_pos","Y","7/27/2015","9:22",1357,4.29,4,"F"
"130","072715-01",1,6,14,"dog_pos","dog_pos","dog_inhib","inhibition","control","target","distractor","L","dog_pos","Y","7/27/2015","9:22",1042,4.29,4,"F"
"131","072715-01",1,6,15,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","R","dog_pos","Y","7/27/2015","9:22",2280,4.29,4,"F"
"132","072715-01",1,6,16,"dog_pos","dog_pos","dog_inhib","inhibition","control","target","distractor","L","dog_pos","Y","7/27/2015","9:22",1092,4.29,4,"F"
"133","072715-01",1,6,17,"dog_pos","dog_pos","dog_inhib","inhibition","control","target","distractor","L","dog_pos","Y","7/27/2015","9:22",1426,4.29,4,"F"
"134","072715-01",1,6,18,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","R","dog_pos","Y","7/27/2015","9:22",1270,4.29,4,"F"
"135","072715-01",1,6,19,"dog_inhib","dog_inhib","dog_pos","inhibition","inhib","target","distractor","L","dog_inhib","Y","7/27/2015","9:22",1735,4.29,4,"F"
"136","072715-01",1,6,20,"teddybear_pos","teddybear_pos","teddybear_inhib","inhibition","control","target","distractor","L","teddybear_pos","Y","7/27/2015","9:22",1407,4.29,4,"F"
"137","072715-01",1,6,21,"teddybear_pos","teddybear_inhib","teddybear_pos","inhibition","control","distractor","target","R","teddybear_pos","Y","7/27/2015","9:22",1092,4.29,4,"F"
"138","072715-01",1,6,22,"teddybear_pos","teddybear_pos","teddybear_inhib","inhibition","control","target","distractor","L","teddybear_pos","Y","7/27/2015","9:22",1011,4.29,4,"F"
"139","072715-01",1,6,23,"teddybear_pos","teddybear_pos","teddybear_inhib","inhibition","control","target","distractor","L","teddybear_pos","Y","7/27/2015","9:22",1003,4.29,4,"F"
"140","072715-01",1,6,24,"teddybear_pos","teddybear_inhib","teddybear_pos","inhibition","control","distractor","target","R","teddybear_pos","Y","7/27/2015","9:22",1111,4.29,4,"F"
"141","072715-01",1,6,25,"teddybear_pos","teddybear_pos","teddybear_inhib","inhibition","control","target","distractor","L","teddybear_pos","Y","7/27/2015","9:22",1256,4.29,4,"F"
"142","072715-01",1,6,26,"teddybear_inhib","teddybear_pos","teddybear_inhib","inhibition","inhib","distractor","target","R","teddybear_inhib","Y","7/27/2015","9:22",1817,4.29,4,"F"
"143","072715-01",1,6,27,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y","7/27/2015","9:22",3708,4.29,4,"F"
"144","072715-01",1,6,28,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y","7/27/2015","9:22",2052,4.29,4,"F"
"145","072715-01",1,6,29,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","L","banana_pos","Y","7/27/2015","9:22",1686,4.29,4,"F"
"146","072715-01",1,6,30,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","L","banana_pos","Y","7/27/2015","9:22",1388,4.29,4,"F"
"147","072715-01",1,6,31,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","L","banana_pos","Y","7/27/2015","9:22",1340,4.29,4,"F"
"148","072715-01",1,6,32,"banana_inhib","banana_pos","banana_inhib","inhibition","inhib","distractor","target","R","banana_inhib","Y","7/27/2015","9:22",1487,4.29,4,"F"
"149","072715-01",1,6,33,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","7/27/2015","9:22",1398,4.29,4,"F"
"150","072715-01",1,6,34,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","7/27/2015","9:22",833,4.29,4,"F"
"151","072715-01",1,6,35,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","7/27/2015","9:22",656,4.29,4,"F"
"152","072715-01",1,6,36,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","7/27/2015","9:22",695,4.29,4,"F"
"153","072715-01",1,6,37,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","7/27/2015","9:22",745,4.29,4,"F"
"154","072715-01",1,6,38,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","7/27/2015","9:22",3124,4.29,4,"F"
"155","072715-01",1,6,39,"bicycle_inhib","bicycle_pos","bicycle_inhib","inhibition","inhib","distractor","target","R","bicycle_inhib","Y","7/27/2015","9:22",1802,4.29,4,"F"
"156","072715-01",1,6,40,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y","7/27/2015","9:22",1841,4.29,4,"F"
"157","072715-01",1,6,41,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y","7/27/2015","9:22",745,4.29,4,"F"
"158","072715-01",1,6,42,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y","7/27/2015","9:22",507,4.29,4,"F"
"159","072715-01",1,6,43,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y","7/27/2015","9:22",576,4.29,4,"F"
"160","072715-01",1,6,44,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y","7/27/2015","9:22",923,4.29,4,"F"
"161","072715-01",1,6,45,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y","7/27/2015","9:22",822,4.29,4,"F"
"162","072715-01",1,6,46,"cat_inhib","cat_inhib","cat_pos","inhibition","inhib","target","distractor","L","cat_inhib","Y","7/27/2015","9:22",1825,4.29,4,"F"
"163","072715-01",1,6,47,"flower_pos","flower_inhib","flower_pos","inhibition","control","distractor","target","R","flower_pos","Y","7/27/2015","9:22",1347,4.29,4,"F"
"164","072715-01",1,6,48,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y","7/27/2015","9:22",1160,4.29,4,"F"
"165","072715-01",1,6,49,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y","7/27/2015","9:22",1467,4.29,4,"F"
"166","072715-01",1,6,50,"flower_pos","flower_inhib","flower_pos","inhibition","control","distractor","target","R","flower_pos","Y","7/27/2015","9:22",1419,4.29,4,"F"
"167","072715-01",1,6,51,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y","7/27/2015","9:22",1378,4.29,4,"F"
