X1,subid,list,game.order,trial.num,word,leftpic,rightpic,game,trial.type,leftpic.type,rightpic.type,side.chosen,pic.chosen,response,date,timestamp,rt,response_numeric
20,1,2,4,20,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,7/23/2015,12:17:00,0.642,1
21,1,2,4,21,lamp_implic,lamp_implic,lamp_control,implicature,implicature,target,distractor,L,lamp_implic,Y,7/23/2015,12:17:00,0.653,1
22,1,2,4,22,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,L,banana_control,N,7/23/2015,12:17:00,0.626,0
23,1,2,4,23,bird_control,bird_control,bird_foil,implicature,unambiguous,target,distractor,L,bird_control,Y,7/23/2015,12:17:00,0.585,1
24,1,2,4,24,cookie_control,cookie_control,cookie_foil,implicature,unambiguous,target,distractor,L,cookie_control,Y,7/23/2015,12:17:00,0.609,1
25,1,2,4,25,dog_control,dog_foil,dog_control,implicature,unambiguous,distractor,target,R,dog_control,Y,7/23/2015,12:17:00,0.592,1
26,1,2,4,26,lamp_implic,lamp_implic,lamp_control,implicature,implicature,target,distractor,L,lamp_implic,Y,7/23/2015,12:17:00,0.666,1
27,1,2,4,27,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,7/23/2015,12:17:00,0.625,1
28,1,2,4,28,car_implic,car_implic,car_control,implicature,implicature,target,distractor,R,car_control,N,7/23/2015,12:17:00,0.611,0
29,1,2,4,29,cup_control,cup_control,cup_foil,implicature,unambiguous,target,distractor,L,cup_control,Y,7/23/2015,12:17:00,0.624,1
30,1,2,4,30,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,0.719,1
31,1,2,4,31,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,R,teddybear_implic,Y,7/23/2015,12:17:00,1.087,1
32,1,2,4,32,flower_control,flower_control,flower_foil,implicature,unambiguous,target,distractor,L,flower_control,Y,7/23/2015,12:17:00,0.706,1
33,1,2,4,33,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.675,0
34,1,2,4,34,apple_control,apple_control,apple_foil,implicature,unambiguous,target,distractor,L,apple_control,Y,7/23/2015,12:17:00,0.587,1
35,1,2,4,35,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,L,banana_control,N,7/23/2015,12:17:00,0.688,0
36,1,2,4,36,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,L,bird_implic,Y,7/23/2015,12:17:00,0.625,1
37,1,2,4,37,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,L,teddybear_control,N,7/23/2015,12:17:00,0.568,0
38,1,2,4,38,cup_control,cup_control,cup_foil,implicature,unambiguous,target,distractor,L,cup_control,Y,7/23/2015,12:17:00,0.583,1
39,1,2,4,39,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,7/23/2015,12:17:00,0.64,1
40,1,2,4,40,banana_control,banana_control,banana_foil,implicature,unambiguous,target,distractor,L,banana_control,Y,7/23/2015,12:17:00,0.673,1
41,1,2,4,41,lamp_control,lamp_control,lamp_foil,implicature,unambiguous,target,distractor,L,lamp_control,Y,7/23/2015,12:17:00,0.631,1
42,1,2,4,42,apple_control,apple_control,apple_foil,implicature,unambiguous,target,distractor,L,apple_control,Y,7/23/2015,12:17:00,0.633,1
43,1,2,4,43,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,7/23/2015,12:17:00,0.595,1
44,1,2,4,44,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.588,0
45,1,2,4,45,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,L,bird_foil,N,7/23/2015,12:17:00,0.591,0
46,1,2,4,46,flower_control,flower_foil,flower_control,implicature,unambiguous,distractor,target,R,flower_control,Y,7/23/2015,12:17:00,0.967,1
47,1,2,4,47,dog_implic,dog_implic,dog_control,implicature,implicature,target,distractor,R,dog_control,N,7/23/2015,12:17:00,0.781,0
48,1,2,4,48,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,0.751,1
49,1,2,4,49,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,L,bird_implic,Y,7/23/2015,12:17:00,0.722,1
50,1,2,4,50,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.765,1
51,1,2,4,51,car_control,car_foil,car_control,implicature,unambiguous,distractor,target,R,car_control,Y,7/23/2015,12:17:00,0.681,1
52,1,2,4,52,lamp_implic,lamp_implic,lamp_control,implicature,implicature,target,distractor,L,lamp_implic,Y,7/23/2015,12:17:00,0.736,1
53,1,2,4,53,bicycle_implic,bicycle_control,bicycle_implic,implicature,implicature,distractor,target,L,bicycle_control,N,7/23/2015,12:17:00,0.786,0
54,1,2,4,54,dog_implic,dog_control,dog_implic,implicature,implicature,distractor,target,L,dog_control,N,7/23/2015,12:17:00,0.804,0
55,1,2,4,55,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,L,teddybear_control,N,7/23/2015,12:17:00,0.649,0
56,1,2,4,56,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,7/23/2015,12:17:00,0.698,1
57,1,2,4,57,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.885,0
58,1,2,4,58,apple_control,apple_control,apple_foil,implicature,unambiguous,target,distractor,L,apple_control,Y,7/23/2015,12:17:00,0.598,1
59,1,2,4,59,cup_implic,cup_implic,cup_control,implicature,implicature,target,distractor,L,cup_implic,Y,7/23/2015,12:17:00,0.728,1
60,1,2,4,60,banana_control,banana_foil,banana_control,implicature,unambiguous,distractor,target,R,banana_control,Y,7/23/2015,12:17:00,0.704,1
61,1,2,4,61,lamp_control,lamp_control,lamp_foil,implicature,unambiguous,target,distractor,L,lamp_control,Y,7/23/2015,12:17:00,0.709,1
62,1,2,4,62,dog_implic,dog_implic,dog_control,implicature,implicature,target,distractor,L,dog_implic,Y,7/23/2015,12:17:00,0.578,1
63,1,2,4,63,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,R,bird_control,Y,7/23/2015,12:17:00,0.64,1
64,1,2,4,64,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,7/23/2015,12:17:00,0.627,1
65,1,2,4,65,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.655,1
66,1,2,4,66,banana_control,banana_control,banana_foil,implicature,unambiguous,target,distractor,L,banana_control,Y,7/23/2015,12:17:00,0.64,1
67,1,2,4,67,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.556,0
68,1,2,4,68,cup_control,cup_control,cup_foil,implicature,unambiguous,target,distractor,L,cup_control,Y,7/23/2015,12:17:00,0.496,1
69,1,2,4,69,apple_implic,apple_control,apple_implic,implicature,implicature,distractor,target,L,apple_control,N,7/23/2015,12:17:00,0.542,0
70,1,2,4,70,cookie_control,cookie_foil,cookie_control,implicature,unambiguous,distractor,target,R,cookie_control,Y,7/23/2015,12:17:00,0.909,1
71,1,2,4,71,teddybear_control,teddybear_control,teddybear_foil,implicature,unambiguous,target,distractor,L,teddybear_control,Y,7/23/2015,12:17:00,0.564,1
72,1,2,4,72,bicycle_implic,bicycle_implic,bicycle_control,implicature,implicature,target,distractor,L,bicycle_implic,Y,7/23/2015,12:17:00,0.786,1
73,1,2,4,73,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.64,0
74,1,2,4,74,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,7/23/2015,12:17:00,0.64,1
75,1,2,4,75,car_implic,car_implic,car_control,implicature,implicature,target,distractor,L,car_implic,Y,7/23/2015,12:17:00,0.672,1
76,1,2,4,76,flower_control,flower_control,flower_foil,implicature,unambiguous,target,distractor,L,flower_control,Y,7/23/2015,12:17:00,0.705,1
77,1,2,4,77,cookie_control,cookie_control,cookie_foil,implicature,unambiguous,target,distractor,L,cookie_control,Y,7/23/2015,12:17:00,0.638,1
78,1,2,4,78,teddybear_implic,teddybear_implic,teddybear_control,implicature,implicature,target,distractor,R,teddybear_control,N,7/23/2015,12:17:00,0.627,0
79,1,2,4,79,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,L,bird_implic,Y,7/23/2015,12:17:00,0.632,1
80,1,2,4,80,dog_control,dog_foil,dog_control,implicature,unambiguous,distractor,target,R,dog_control,Y,7/23/2015,12:17:00,0.654,1
81,1,2,4,81,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,0.648,1
82,1,2,4,82,lamp_control,lamp_control,lamp_foil,implicature,unambiguous,target,distractor,L,lamp_control,Y,7/23/2015,12:17:00,0.614,1
83,1,2,4,83,apple_implic,apple_implic,apple_control,implicature,implicature,target,distractor,L,apple_implic,Y,7/23/2015,12:17:00,0.743,1
84,1,2,4,84,banana_control,banana_foil,banana_control,implicature,unambiguous,distractor,target,R,banana_control,Y,7/23/2015,12:17:00,0.675,1
85,1,2,4,85,car_control,car_control,car_foil,implicature,unambiguous,target,distractor,L,car_control,Y,7/23/2015,12:17:00,0.534,1
86,1,2,4,86,apple_implic,apple_control,apple_implic,implicature,implicature,distractor,target,L,apple_control,N,7/23/2015,12:17:00,0.607,0
87,1,2,4,87,banana_implic,banana_implic,banana_control,implicature,implicature,target,distractor,L,banana_implic,Y,7/23/2015,12:17:00,0.546,1
88,1,2,4,88,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,7/23/2015,12:17:00,0.5,1
89,1,2,4,89,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,7/23/2015,12:17:00,0.556,1
90,1,2,4,90,dog_implic,dog_implic,dog_control,implicature,implicature,target,distractor,L,dog_implic,Y,7/23/2015,12:17:00,0.563,1
91,1,2,4,91,flower_control,flower_control,flower_foil,implicature,unambiguous,target,distractor,L,flower_control,Y,7/23/2015,12:17:00,0.645,1
92,1,2,4,92,bird_implic,bird_implic,bird_control,implicature,implicature,target,distractor,L,bird_implic,Y,7/23/2015,12:17:00,0.622,1
93,1,2,4,93,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,L,teddybear_control,N,7/23/2015,12:17:00,0.606,0
94,1,2,4,94,bicycle_implic,bicycle_control,bicycle_implic,implicature,implicature,distractor,target,L,bicycle_control,N,7/23/2015,12:17:00,0.499,0
95,1,2,4,95,lamp_implic,lamp_control,lamp_implic,implicature,implicature,distractor,target,R,lamp_implic,Y,7/23/2015,12:17:00,0.598,1
96,1,2,4,96,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,7/23/2015,12:17:00,0.687,1
97,1,2,4,97,teddybear_control,teddybear_control,teddybear_foil,implicature,unambiguous,target,distractor,L,teddybear_control,Y,7/23/2015,12:17:00,0.607,1
98,1,2,4,98,cup_implic,cup_implic,cup_control,implicature,implicature,target,distractor,L,cup_implic,Y,7/23/2015,12:17:00,0.564,1
99,1,2,4,99,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,R,bird_control,Y,7/23/2015,12:17:00,0.655,1
100,1,2,4,100,dog_implic,dog_control,dog_implic,implicature,implicature,distractor,target,L,dog_control,N,7/23/2015,12:17:00,0.658,0
101,1,2,4,101,bicycle_implic,bicycle_control,bicycle_implic,implicature,implicature,distractor,target,L,bicycle_control,N,7/23/2015,12:17:00,0.564,0
102,1,2,4,102,cat_implic,cat_control,cat_implic,implicature,implicature,distractor,target,L,cat_control,N,7/23/2015,12:17:00,0.532,0
103,1,2,4,103,car_implic,car_implic,car_control,implicature,implicature,target,distractor,L,car_implic,Y,7/23/2015,12:17:00,0.566,1
104,1,2,4,104,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,7/23/2015,12:17:00,0.485,1
105,1,2,4,105,banana_implic,banana_control,banana_implic,implicature,implicature,distractor,target,L,banana_control,N,7/23/2015,12:17:00,1.054,0
106,1,2,4,106,lamp_control,lamp_foil,lamp_control,implicature,unambiguous,distractor,target,R,lamp_control,Y,7/23/2015,12:17:00,0.766,1
107,1,2,4,107,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.576,1
108,1,2,4,108,apple_control,apple_control,apple_foil,implicature,unambiguous,target,distractor,L,apple_control,Y,7/23/2015,12:17:00,0.588,1
109,1,2,4,109,bicycle_control,bicycle_foil,bicycle_control,implicature,unambiguous,distractor,target,R,bicycle_control,Y,7/23/2015,12:17:00,0.615,1
110,1,2,4,110,cup_control,cup_foil,cup_control,implicature,unambiguous,distractor,target,R,cup_control,Y,7/23/2015,12:17:00,0.647,1
111,1,2,4,111,banana_control,banana_foil,banana_control,implicature,unambiguous,distractor,target,R,banana_control,Y,7/23/2015,12:17:00,0.648,1
112,1,2,4,112,bird_control,bird_foil,bird_control,implicature,unambiguous,distractor,target,L,bird_foil,N,7/23/2015,12:17:00,0.504,0
113,1,2,4,113,cookie_implic,cookie_implic,cookie_control,implicature,implicature,target,distractor,L,cookie_implic,Y,7/23/2015,12:17:00,0.672,1
114,1,2,4,114,lamp_control,lamp_control,lamp_foil,implicature,unambiguous,target,distractor,L,lamp_control,Y,7/23/2015,12:17:00,0.572,1
115,1,2,4,115,teddybear_implic,teddybear_control,teddybear_implic,implicature,implicature,distractor,target,L,teddybear_control,N,7/23/2015,12:17:00,0.633,0
116,1,2,4,116,car_implic,car_implic,car_control,implicature,implicature,target,distractor,R,car_control,N,7/23/2015,12:17:00,0.544,0
117,1,2,4,117,apple_implic,apple_implic,apple_control,implicature,implicature,target,distractor,R,apple_control,N,7/23/2015,12:17:00,0.595,0
118,1,2,4,118,cat_control,cat_control,cat_foil,implicature,unambiguous,target,distractor,L,cat_control,Y,7/23/2015,12:17:00,0.572,1
119,1,2,4,119,dog_implic,dog_implic,dog_control,implicature,implicature,target,distractor,L,dog_implic,Y,7/23/2015,12:17:00,0.602,1
120,1,2,4,120,flower_implic,flower_implic,flower_control,implicature,implicature,target,distractor,L,flower_implic,Y,7/23/2015,12:17:00,0.572,1
121,1,2,4,1,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,7/23/2015,12:17:00,0.629,1
122,1,2,4,2,cup_pos,cup_inhib,cup_pos,inhibition,control,distractor,target,L,cup_inhib,N,7/23/2015,12:17:00,0.527,0
123,1,2,4,3,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,7/23/2015,12:17:00,0.421,1
124,1,2,4,4,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,7/23/2015,12:17:00,0.392,1
125,1,2,4,5,cup_pos,cup_pos,cup_inhib,inhibition,control,target,distractor,L,cup_pos,Y,7/23/2015,12:17:00,0.38,1
126,1,2,4,6,cup_inhib,cup_inhib,cup_pos,inhibition,inhib,target,distractor,R,cup_pos,N,7/23/2015,12:17:00,0.388,0
127,1,2,4,7,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,L,bird_pos,Y,7/23/2015,12:17:00,0.75,1
128,1,2,4,8,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,L,bird_pos,Y,7/23/2015,12:17:00,0.691,1
129,1,2,4,9,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,L,bird_pos,Y,7/23/2015,12:17:00,0.404,1
130,1,2,4,10,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,7/23/2015,12:17:00,0.586,1
131,1,2,4,11,bird_pos,bird_pos,bird_inhib,inhibition,control,target,distractor,L,bird_pos,Y,7/23/2015,12:17:00,0.375,1
132,1,2,4,12,bird_pos,bird_inhib,bird_pos,inhibition,control,distractor,target,R,bird_pos,Y,7/23/2015,12:17:00,0.644,1
133,1,2,4,13,bird_inhib,bird_inhib,bird_pos,inhibition,inhib,target,distractor,L,bird_inhib,Y,7/23/2015,12:17:00,0.499,1
134,1,2,4,14,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,R,lamp_inhib,N,7/23/2015,12:17:00,0.56,0
135,1,2,4,15,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,7/23/2015,12:17:00,0.464,1
136,1,2,4,16,lamp_pos,lamp_pos,lamp_inhib,inhibition,control,target,distractor,L,lamp_pos,Y,7/23/2015,12:17:00,0.412,1
137,1,2,4,17,lamp_pos,lamp_inhib,lamp_pos,inhibition,control,distractor,target,R,lamp_pos,Y,7/23/2015,12:17:00,0.443,1
138,1,2,4,18,lamp_pos,lamp_inhib,lamp_pos,inhibition,control,distractor,target,R,lamp_pos,Y,7/23/2015,12:17:00,0.456,1
139,1,2,4,19,lamp_pos,lamp_inhib,lamp_pos,inhibition,control,distractor,target,R,lamp_pos,Y,7/23/2015,12:17:00,0.428,1
140,1,2,4,20,lamp_inhib,lamp_inhib,lamp_pos,inhibition,inhib,target,distractor,L,lamp_inhib,Y,7/23/2015,12:17:00,0.469,1
141,1,2,4,21,cookie_pos,cookie_inhib,cookie_pos,inhibition,control,distractor,target,L,cookie_inhib,N,7/23/2015,12:17:00,0.647,0
142,1,2,4,22,cookie_pos,cookie_inhib,cookie_pos,inhibition,control,distractor,target,R,cookie_pos,Y,7/23/2015,12:17:00,0.462,1
143,1,2,4,23,cookie_pos,cookie_pos,cookie_inhib,inhibition,control,target,distractor,L,cookie_pos,Y,7/23/2015,12:17:00,0.453,1
144,1,2,4,24,cookie_pos,cookie_inhib,cookie_pos,inhibition,control,distractor,target,R,cookie_pos,Y,7/23/2015,12:17:00,0.38,1
145,1,2,4,25,cookie_pos,cookie_pos,cookie_inhib,inhibition,control,target,distractor,L,cookie_pos,Y,7/23/2015,12:17:00,0.407,1
146,1,2,4,26,cookie_inhib,cookie_inhib,cookie_pos,inhibition,inhib,target,distractor,L,cookie_inhib,Y,7/23/2015,12:17:00,0.563,1
147,1,2,4,27,flower_pos,flower_pos,flower_inhib,inhibition,control,target,distractor,L,flower_pos,Y,7/23/2015,12:17:00,0.72,1
148,1,2,4,28,flower_pos,flower_inhib,flower_pos,inhibition,control,distractor,target,R,flower_pos,Y,7/23/2015,12:17:00,0.642,1
149,1,2,4,29,flower_pos,flower_pos,flower_inhib,inhibition,control,target,distractor,L,flower_pos,Y,7/23/2015,12:17:00,0.381,1
150,1,2,4,30,flower_pos,flower_inhib,flower_pos,inhibition,control,distractor,target,R,flower_pos,Y,7/23/2015,12:17:00,0.447,1
151,1,2,4,31,flower_pos,flower_pos,flower_inhib,inhibition,control,target,distractor,L,flower_pos,Y,7/23/2015,12:17:00,0.442,1
152,1,2,4,32,flower_pos,flower_inhib,flower_pos,inhibition,control,distractor,target,R,flower_pos,Y,7/23/2015,12:17:00,0.435,1
153,1,2,4,33,flower_inhib,flower_pos,flower_inhib,inhibition,inhib,distractor,target,R,flower_inhib,Y,7/23/2015,12:17:00,0.618,1
154,1,2,4,34,cat_pos,cat_pos,cat_inhib,inhibition,control,target,distractor,L,cat_pos,Y,7/23/2015,12:17:00,0.744,1
155,1,2,4,35,cat_pos,cat_inhib,cat_pos,inhibition,control,distractor,target,L,cat_inhib,N,7/23/2015,12:17:00,0.398,0
156,1,2,4,36,cat_pos,cat_pos,cat_inhib,inhibition,control,target,distractor,L,cat_pos,Y,7/23/2015,12:17:00,0.398,1
157,1,2,4,37,cat_pos,cat_pos,cat_inhib,inhibition,control,target,distractor,L,cat_pos,Y,7/23/2015,12:17:00,0.408,1
158,1,2,4,38,cat_pos,cat_inhib,cat_pos,inhibition,control,distractor,target,R,cat_pos,Y,7/23/2015,12:17:00,0.392,1
159,1,2,4,39,cat_inhib,cat_inhib,cat_pos,inhibition,inhib,target,distractor,L,cat_inhib,Y,7/23/2015,12:17:00,0.677,1
160,1,2,4,40,bicycle_pos,bicycle_pos,bicycle_inhib,inhibition,control,target,distractor,L,bicycle_pos,Y,7/23/2015,12:17:00,0.638,1
161,1,2,4,41,bicycle_pos,bicycle_pos,bicycle_inhib,inhibition,control,target,distractor,L,bicycle_pos,Y,7/23/2015,12:17:00,0.363,1
162,1,2,4,42,bicycle_pos,bicycle_pos,bicycle_inhib,inhibition,control,target,distractor,L,bicycle_pos,Y,7/23/2015,12:17:00,0.347,1
163,1,2,4,43,bicycle_pos,bicycle_pos,bicycle_inhib,inhibition,control,target,distractor,L,bicycle_pos,Y,7/23/2015,12:17:00,0.311,1
164,1,2,4,44,bicycle_pos,bicycle_pos,bicycle_inhib,inhibition,control,target,distractor,L,bicycle_pos,Y,7/23/2015,12:17:00,0.327,1
165,1,2,4,45,bicycle_inhib,bicycle_inhib,bicycle_pos,inhibition,inhib,target,distractor,R,bicycle_pos,N,7/23/2015,12:17:00,0.438,0
166,1,2,4,46,banana_pos,banana_pos,banana_inhib,inhibition,control,target,distractor,L,banana_pos,Y,7/23/2015,12:17:00,1.555,1
167,1,2,4,47,banana_pos,banana_pos,banana_inhib,inhibition,control,target,distractor,L,banana_pos,Y,7/23/2015,12:17:00,0.436,1
168,1,2,4,48,banana_pos,banana_inhib,banana_pos,inhibition,control,distractor,target,R,banana_pos,Y,7/23/2015,12:17:00,0.452,1
169,1,2,4,49,banana_pos,banana_pos,banana_inhib,inhibition,control,target,distractor,L,banana_pos,Y,7/23/2015,12:17:00,0.368,1
170,1,2,4,50,banana_pos,banana_inhib,banana_pos,inhibition,control,distractor,target,R,banana_pos,Y,7/23/2015,12:17:00,0.404,1
171,1,2,4,51,banana_inhib,banana_pos,banana_inhib,inhibition,inhib,distractor,target,L,banana_pos,N,7/23/2015,12:17:00,0.45,0
172,1,2,4,52,teddybear_pos,teddybear_inhib,teddybear_pos,inhibition,control,distractor,target,R,teddybear_pos,Y,7/23/2015,12:17:00,0.871,1
173,1,2,4,53,teddybear_pos,teddybear_inhib,teddybear_pos,inhibition,control,distractor,target,R,teddybear_pos,Y,7/23/2015,12:17:00,0.412,1
174,1,2,4,54,teddybear_pos,teddybear_inhib,teddybear_pos,inhibition,control,distractor,target,R,teddybear_pos,Y,7/23/2015,12:17:00,0.404,1
175,1,2,4,55,teddybear_pos,teddybear_pos,teddybear_inhib,inhibition,control,target,distractor,L,teddybear_pos,Y,7/23/2015,12:17:00,0.427,1
176,1,2,4,56,teddybear_pos,teddybear_pos,teddybear_inhib,inhibition,control,target,distractor,L,teddybear_pos,Y,7/23/2015,12:17:00,0.495,1
177,1,2,4,57,teddybear_pos,teddybear_pos,teddybear_inhib,inhibition,control,target,distractor,L,teddybear_pos,Y,7/23/2015,12:17:00,0.521,1
178,1,2,4,58,teddybear_inhib,teddybear_inhib,teddybear_pos,inhibition,inhib,target,distractor,R,teddybear_pos,N,7/23/2015,12:17:00,0.603,0
179,1,2,4,59,dog_pos,dog_inhib,dog_pos,inhibition,control,distractor,target,R,dog_pos,Y,7/23/2015,12:17:00,1.841,1
180,1,2,4,60,dog_pos,dog_pos,dog_inhib,inhibition,control,target,distractor,L,dog_pos,Y,7/23/2015,12:17:00,0.466,1
181,1,2,4,61,dog_pos,dog_inhib,dog_pos,inhibition,control,distractor,target,R,dog_pos,Y,7/23/2015,12:17:00,0.419,1
182,1,2,4,62,dog_pos,dog_inhib,dog_pos,inhibition,control,distractor,target,R,dog_pos,Y,7/23/2015,12:17:00,0.451,1
183,1,2,4,63,dog_pos,dog_pos,dog_inhib,inhibition,control,target,distractor,L,dog_pos,Y,7/23/2015,12:17:00,0.428,1
184,1,2,4,64,dog_pos,dog_pos,dog_inhib,inhibition,control,target,distractor,L,dog_pos,Y,7/23/2015,12:17:00,0.445,1
185,1,2,4,65,dog_inhib,dog_pos,dog_inhib,inhibition,inhib,distractor,target,R,dog_inhib,Y,7/23/2015,12:17:00,0.769,1
186,1,2,4,66,car_pos,car_inhib,car_pos,inhibition,control,distractor,target,R,car_pos,Y,7/23/2015,12:17:00,0.826,1
187,1,2,4,67,car_pos,car_inhib,car_pos,inhibition,control,distractor,target,R,car_pos,Y,7/23/2015,12:17:00,0.585,1
188,1,2,4,68,car_pos,car_inhib,car_pos,inhibition,control,distractor,target,R,car_pos,Y,7/23/2015,12:17:00,0.364,1
189,1,2,4,69,car_pos,car_pos,car_inhib,inhibition,control,target,distractor,L,car_pos,Y,7/23/2015,12:17:00,0.455,1
