"","subid","list","game.order","trial.num","word","leftpic","rightpic","game","trial.type","leftpic.type","rightpic.type","side.chosen","pic.chosen","response","date","timestamp","rt","age","agegroup","gender","english"
"22","111015_1",1,2,13,"flower_pos","flower_pos","flower_neg","negation","positive","target","distractor","R","flower_neg","N","11/10/2015","13:10",275,4.97,4,"F",100
"23","111015_1",1,2,4,"cat_control","cat_control","cat_foil","implicature","unambiguous","target","distractor","L","cat_control","Y","11/10/2015","13:10",1573,4.97,4,"F",100
"24","111015_1",1,2,73,"cup_pos","cup_inhib","cup_pos","inhibition","control","distractor","target","R","cup_pos","Y","11/10/2015","13:10",1322,4.97,4,"F",100
"25","111015_1",1,2,49,"cup_pos","cup_pos","cup_neg","negation","positive","target","distractor","L","cup_pos","Y","11/10/2015","13:10",293,4.97,4,"F",100
"26","111015_1",1,2,7,"dog_control","dog_foil","dog_control","implicature","unambiguous","distractor","target","R","dog_control","Y","11/10/2015","13:10",1440,4.97,4,"F",100
"27","111015_1",1,2,65,"lamp_inhib","lamp_pos","lamp_inhib","inhibition","inhib","distractor","target","R","lamp_inhib","Y","11/10/2015","13:10",1232,4.97,4,"F",100
"28","111015_1",1,2,2,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y","11/10/2015","13:10",246,4.97,4,"F",100
"29","111015_1",1,2,31,"bicycle_implic","bicycle_control","bicycle_implic","implicature","implicature","distractor","target","R","bicycle_implic","Y","11/10/2015","13:10",2123,4.97,4,"F",100
"30","111015_1",1,2,71,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","L","bird_inhib","N","11/10/2015","13:10",3482,4.97,4,"F",100
"31","111015_1",1,2,76,"cup_pos","cup_pos","cup_inhib","inhibition","control","target","distractor","L","cup_pos","Y","11/10/2015","13:10",2230,4.97,4,"F",100
"32","111015_1",1,2,9,"lamp_control","lamp_foil","lamp_control","implicature","unambiguous","distractor","target","R","lamp_control","Y","11/10/2015","13:10",1278,4.97,4,"F",100
"33","111015_1",1,2,5,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","R","apple_inhib","N","11/10/2015","13:10",1875,4.97,4,"F",100
"34","111015_1",1,2,31,"banana_pos","banana_inhib","banana_pos","inhibition","control","distractor","target","R","banana_pos","Y","11/10/2015","13:10",1600,4.97,4,"F",100
"35","111015_1",1,2,3,"apple_implic","apple_control","apple_implic","implicature","implicature","distractor","target","R","apple_implic","Y","11/10/2015","13:10",1888,4.97,4,"F",100
"36","111015_1",1,2,12,"banana_pos","banana_neg","banana_pos","negation","positive","distractor","target","R","banana_pos","Y","11/10/2015","13:10",1228,4.97,4,"F",100
"37","111015_1",1,2,46,"banana_neg","banana_pos","banana_neg","negation","negative","distractor","target","L","banana_pos","N","11/10/2015","13:10",741.000000000001,4.97,4,"F",100
"38","111015_1",1,2,7,"bicycle_pos","bicycle_pos","bicycle_neg","negation","positive","target","distractor","L","bicycle_pos","Y","11/10/2015","13:10",1322,4.97,4,"F",100
"39","111015_1",1,2,41,"lamp_neg","lamp_neg","lamp_pos","negation","negative","target","distractor","R","lamp_pos","N","11/10/2015","13:10",742.999999999997,4.97,4,"F",100
"40","111015_1",1,2,6,"teddybear_implic","teddybear_implic","teddybear_control","implicature","implicature","target","distractor","L","teddybear_implic","Y","11/10/2015","13:10",1549,4.97,4,"F",100
"41","111015_1",1,2,29,"flower_control","flower_foil","flower_control","implicature","unambiguous","distractor","target","R","flower_control","Y","11/10/2015","13:10",3588,4.97,4,"F",100
"42","111015_1",1,2,7,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","R","car_inhib","N","11/10/2015","13:10",1868,4.97,4,"F",100
"43","111015_1",1,2,8,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","R","car_inhib","N","11/10/2015","13:10",1743,4.97,4,"F",100
"44","111015_1",1,2,48,"apple_pos","apple_pos","apple_neg","negation","positive","target","distractor","L","apple_pos","Y","11/10/2015","13:10",1490,4.97,4,"F",100
"45","111015_1",1,2,67,"bird_pos","bird_inhib","bird_pos","inhibition","control","distractor","target","R","bird_pos","Y","11/10/2015","13:10",1498,4.97,4,"F",100
"46","111015_1",1,2,38,"bird_implic","bird_implic","bird_control","implicature","implicature","target","distractor","R","bird_control","N","11/10/2015","13:10",753,4.97,4,"F",100
"47","111015_1",1,2,1,"banana_control","banana_control","banana_foil","implicature","unambiguous","target","distractor","L","banana_control","Y","11/10/2015","13:10",3420,4.97,4,"F",100
"48","111015_1",1,2,28,"cat_implic","cat_control","cat_implic","implicature","implicature","distractor","target","R","cat_implic","Y","11/10/2015","13:10",2246,4.97,4,"F",100
"49","111015_1",1,2,4,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y","11/10/2015","13:10",49,4.97,4,"F",100
"50","111015_1",1,2,58,"cat_pos","cat_pos","cat_neg","negation","positive","target","distractor","L","cat_pos","Y","11/10/2015","13:10",2307,4.97,4,"F",100
"51","111015_1",1,2,59,"flower_pos","flower_neg","flower_pos","negation","positive","distractor","target","R","flower_pos","Y","11/10/2015","13:10",1238,4.97,4,"F",100
"52","111015_1",1,2,60,"cookie_neg","cookie_pos","cookie_neg","negation","negative","distractor","target","R","cookie_neg","Y","11/10/2015","13:10",1758,4.97,4,"F",100
"53","111015_1",1,2,41,"car_control","car_foil","car_control","implicature","unambiguous","distractor","target","L","car_foil","N","11/10/2015","13:10",167,4.97,4,"F",100
"54","111015_1",1,2,6,"apple_inhib","apple_pos","apple_inhib","inhibition","inhib","distractor","target","L","apple_pos","N","11/10/2015","13:10",3373,4.97,4,"F",100
"55","111015_1",1,2,44,"bird_neg","bird_neg","bird_pos","negation","negative","target","distractor","L","bird_neg","Y","11/10/2015","13:10",767,4.97,4,"F",100
"56","111015_1",1,2,45,"dog_neg","dog_neg","dog_pos","negation","negative","target","distractor","R","dog_pos","N","11/10/2015","13:10",1209,4.97,4,"F",100
"57","111015_1",1,2,47,"cookie_pos","cookie_pos","cookie_neg","negation","positive","target","distractor","R","cookie_neg","N","11/10/2015","13:10",2418,4.97,4,"F",100
"58","111015_1",1,2,75,"cup_pos","cup_pos","cup_inhib","inhibition","control","target","distractor","L","cup_pos","Y","11/10/2015","13:10",1405,4.97,4,"F",100
"59","111015_1",1,2,51,"car_pos","car_pos","car_neg","negation","positive","target","distractor","L","car_pos","Y","11/10/2015","13:10",45,4.97,4,"F",100
"60","111015_1",1,2,78,"cup_pos","cup_inhib","cup_pos","inhibition","control","distractor","target","R","cup_pos","Y","11/10/2015","13:10",1447,4.97,4,"F",100
"61","111015_1",1,2,2,"cup_control","cup_control","cup_foil","implicature","unambiguous","target","distractor","L","cup_control","Y","11/10/2015","13:10",2555,4.97,4,"F",100
"62","111015_1",1,2,29,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","L","banana_pos","Y","11/10/2015","13:10",1161,4.97,4,"F",100
"63","111015_1",1,2,28,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","R","banana_inhib","N","11/10/2015","13:10",1380,4.97,4,"F",100
"64","111015_1",1,2,11,"flower_pos","flower_neg","flower_pos","negation","positive","distractor","target","L","flower_neg","N","11/10/2015","13:10",962,4.97,4,"F",100
"65","111015_1",1,2,62,"lamp_pos","lamp_pos","lamp_inhib","inhibition","control","target","distractor","L","lamp_pos","Y","11/10/2015","13:10",1165,4.97,4,"F",100
"66","111015_1",1,2,40,"car_neg","car_pos","car_neg","negation","negative","distractor","target","L","car_pos","N","11/10/2015","13:10",849,4.97,4,"F",100
"67","111015_1",1,2,43,"bicycle_neg","bicycle_neg","bicycle_pos","negation","negative","target","distractor","R","bicycle_pos","N","11/10/2015","13:10",1174,4.97,4,"F",100
"68","111015_1",1,2,20,"cup_neg","cup_neg","cup_pos","negation","negative","target","distractor","L","cup_neg","Y","11/10/2015","13:10",799.000000000001,4.97,4,"F",100
"69","111015_1",1,2,44,"bicycle_control","bicycle_control","bicycle_foil","implicature","unambiguous","target","distractor","L","bicycle_control","Y","11/10/2015","13:10",1046,4.97,4,"F",100
"70","111015_1",1,2,45,"teddybear_control","teddybear_foil","teddybear_control","implicature","unambiguous","distractor","target","L","teddybear_foil","N","11/10/2015","13:10",296,4.97,4,"F",100
"71","111015_1",1,2,42,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","R","cat_pos","Y","11/10/2015","13:10",2431,4.97,4,"F",100
"72","111015_1",1,2,11,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","L","car_inhib","N","11/10/2015","13:10",45,4.97,4,"F",100
"73","111015_1",1,2,50,"teddybear_pos","teddybear_pos","teddybear_neg","negation","positive","target","distractor","L","teddybear_pos","Y","11/10/2015","13:10",44,4.97,4,"F",100
"74","111015_1",1,2,79,"cup_inhib","cup_inhib","cup_pos","inhibition","inhib","target","distractor","L","cup_inhib","Y","11/10/2015","13:10",1739,4.97,4,"F",100
"75","111015_1",1,2,1,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y","11/10/2015","13:10",1507,4.97,4,"F",100
"76","111015_1",1,2,57,"bicycle_neg","bicycle_pos","bicycle_neg","negation","negative","distractor","target","R","bicycle_neg","Y","11/10/2015","13:10",1614,4.97,4,"F",100
"77","111015_1",1,2,40,"lamp_implic","lamp_control","lamp_implic","implicature","implicature","distractor","target","L","lamp_control","N","11/10/2015","13:10",137,4.97,4,"F",100
"78","111015_1",1,2,3,"apple_pos","apple_pos","apple_inhib","inhibition","control","target","distractor","L","apple_pos","Y","11/10/2015","13:10",42,4.97,4,"F",100
"79","111015_1",1,2,56,"lamp_pos","lamp_pos","lamp_neg","negation","positive","target","distractor","L","lamp_pos","Y","11/10/2015","13:10",295,4.97,4,"F",100
"80","111015_1",1,2,5,"cookie_control","cookie_foil","cookie_control","implicature","unambiguous","distractor","target","R","cookie_control","Y","11/10/2015","13:10",1299,4.97,4,"F",100
"81","111015_1",1,2,61,"lamp_pos","lamp_pos","lamp_inhib","inhibition","control","target","distractor","L","lamp_pos","Y","11/10/2015","13:10",1403,4.97,4,"F",100
"82","111015_1",1,2,42,"cup_pos","cup_pos","cup_neg","negation","positive","target","distractor","L","cup_pos","Y","11/10/2015","13:10",1427,4.97,4,"F",100
"83","111015_1",1,2,41,"bicycle_inhib","bicycle_pos","bicycle_inhib","inhibition","inhib","distractor","target","R","bicycle_inhib","Y","11/10/2015","13:10",291,4.97,4,"F",100
"84","111015_1",1,2,16,"bird_control","bird_control","bird_foil","implicature","unambiguous","target","distractor","L","bird_control","Y","11/10/2015","13:10",1419,4.97,4,"F",100
"85","111015_1",1,2,21,"teddybear_neg","teddybear_neg","teddybear_pos","negation","negative","target","distractor","L","teddybear_neg","Y","11/10/2015","13:10",1910,4.97,4,"F",100
"86","111015_1",1,2,10,"car_pos","car_inhib","car_pos","inhibition","control","distractor","target","L","car_inhib","N","11/10/2015","13:10",297,4.97,4,"F",100
"87","111015_1",1,2,27,"apple_implic","apple_control","apple_implic","implicature","implicature","distractor","target","R","apple_implic","Y","11/10/2015","13:10",3572,4.97,4,"F",100
"88","111015_1",1,2,30,"banana_pos","banana_pos","banana_inhib","inhibition","control","target","distractor","L","banana_pos","Y","11/10/2015","13:10",1929,4.97,4,"F",100
"89","111015_1",1,2,26,"teddybear_pos","teddybear_inhib","teddybear_pos","inhibition","control","distractor","target","R","teddybear_pos","Y","11/10/2015","13:10",1425,4.97,4,"F",100
"90","111015_1",1,2,27,"teddybear_inhib","teddybear_inhib","teddybear_pos","inhibition","inhib","target","distractor","L","teddybear_inhib","Y","11/10/2015","13:10",1166,4.97,4,"F",100
"91","111015_1",1,2,10,"bird_neg","bird_pos","bird_neg","negation","negative","distractor","target","R","bird_neg","Y","11/10/2015","13:10",696,4.97,4,"F",100
"92","111015_1",1,2,6,"cup_neg","cup_neg","cup_pos","negation","negative","target","distractor","R","cup_pos","N","11/10/2015","13:10",1579,4.97,4,"F",100
"93","111015_1",1,2,42,"cat_control","cat_control","cat_foil","implicature","unambiguous","target","distractor","L","cat_control","Y","11/10/2015","13:10",122,4.97,4,"F",100
"94","111015_1",1,2,43,"flower_implic","flower_implic","flower_control","implicature","implicature","target","distractor","L","flower_implic","Y","11/10/2015","13:10",129,4.97,4,"F",100
"95","111015_1",1,2,19,"bird_pos","bird_neg","bird_pos","negation","positive","distractor","target","R","bird_pos","Y","11/10/2015","13:10",692,4.97,4,"F",100
"96","111015_1",1,2,17,"lamp_pos","lamp_neg","lamp_pos","negation","positive","distractor","target","R","lamp_pos","Y","11/10/2015","13:10",1088,4.97,4,"F",100
"97","111015_1",1,2,13,"car_inhib","car_inhib","car_pos","inhibition","inhib","target","distractor","L","car_inhib","Y","11/10/2015","13:10",4714,4.97,4,"F",100
"98","111015_1",1,2,17,"cat_implic","cat_implic","cat_control","implicature","implicature","target","distractor","L","cat_implic","Y","11/10/2015","13:10",1688,4.97,4,"F",100
"99","111015_1",1,2,46,"cup_implic","cup_implic","cup_control","implicature","implicature","target","distractor","L","cup_implic","Y","11/10/2015","13:10",46,4.97,4,"F",100
"100","111015_1",1,2,77,"cup_pos","cup_inhib","cup_pos","inhibition","control","distractor","target","L","cup_inhib","N","11/10/2015","13:10",1129,4.97,4,"F",100
"101","111015_1",1,2,53,"dog_pos","dog_neg","dog_pos","negation","positive","distractor","target","L","dog_neg","N","11/10/2015","13:10",1355,4.97,4,"F",100
"102","111015_1",1,2,35,"bicycle_pos","bicycle_pos","bicycle_inhib","inhibition","control","target","distractor","L","bicycle_pos","Y","11/10/2015","13:10",2183,4.97,4,"F",100
"103","111015_1",1,2,39,"banana_implic","banana_control","banana_implic","implicature","implicature","distractor","target","R","banana_implic","Y","11/10/2015","13:10",518,4.97,4,"F",100
"104","111015_1",1,2,55,"bird_pos","bird_pos","bird_neg","negation","positive","target","distractor","L","bird_pos","Y","11/10/2015","13:10",899,4.97,4,"F",100
"105","111015_1",1,2,38,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","11/10/2015","13:10",4216,4.97,4,"F",100
"106","111015_1",1,2,39,"cat_neg","cat_pos","cat_neg","negation","negative","distractor","target","R","cat_neg","Y","11/10/2015","13:10",936.000000000001,4.97,4,"F",100
"107","111015_1",1,2,40,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","11/10/2015","13:10",2228,4.97,4,"F",100
"108","111015_1",1,2,18,"apple_pos","apple_pos","apple_neg","negation","positive","target","distractor","L","apple_pos","Y","11/10/2015","13:10",1069,4.97,4,"F",100
"109","111015_1",1,2,15,"dog_pos","dog_pos","dog_inhib","inhibition","control","target","distractor","L","dog_pos","Y","11/10/2015","13:10",3047,4.97,4,"F",100
"110","111015_1",1,2,44,"cat_pos","cat_pos","cat_inhib","inhibition","control","target","distractor","R","cat_inhib","N","11/10/2015","13:10",1522,4.97,4,"F",100
"111","111015_1",1,2,16,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","L","dog_inhib","N","11/10/2015","13:10",2217,4.97,4,"F",100
"112","111015_1",1,2,18,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","R","cookie_control","N","11/10/2015","13:10",909,4.97,4,"F",100
"113","111015_1",1,2,47,"dog_implic","dog_control","dog_implic","implicature","implicature","distractor","target","L","dog_control","N","11/10/2015","13:10",45,4.97,4,"F",100
"114","111015_1",1,2,26,"banana_control","banana_foil","banana_control","implicature","unambiguous","distractor","target","L","banana_foil","N","11/10/2015","13:10",1627,4.97,4,"F",100
"115","111015_1",1,2,24,"teddybear_control","teddybear_control","teddybear_foil","implicature","unambiguous","target","distractor","L","teddybear_control","Y","11/10/2015","13:10",3027,4.97,4,"F",100
"116","111015_1",1,2,5,"car_neg","car_neg","car_pos","negation","negative","target","distractor","L","car_neg","Y","11/10/2015","13:10",3115,4.97,4,"F",100
"117","111015_1",1,2,9,"apple_pos","apple_neg","apple_pos","negation","positive","distractor","target","L","apple_neg","N","11/10/2015","13:10",913,4.97,4,"F",100
"118","111015_1",1,2,59,"cookie_inhib","cookie_pos","cookie_inhib","inhibition","inhib","distractor","target","R","cookie_inhib","Y","11/10/2015","13:10",1622,4.97,4,"F",100
"119","111015_1",1,2,39,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","11/10/2015","13:10",268,4.97,4,"F",100
"120","111015_1",1,2,37,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","11/10/2015","13:10",1251,4.97,4,"F",100
"121","111015_1",1,2,14,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","L","dog_inhib","N","11/10/2015","13:10",291,4.97,4,"F",100
"122","111015_1",1,2,12,"car_pos","car_pos","car_inhib","inhibition","control","target","distractor","R","car_inhib","N","11/10/2015","13:10",1575,4.97,4,"F",100
"123","111015_1",1,2,34,"bicycle_neg","bicycle_pos","bicycle_neg","negation","negative","distractor","target","L","bicycle_pos","N","11/10/2015","13:10",633.000000000001,4.97,4,"F",100
"124","111015_1",1,2,51,"flower_control","flower_foil","flower_control","implicature","unambiguous","distractor","target","R","flower_control","Y","11/10/2015","13:10",1058,4.97,4,"F",100
"125","111015_1",1,2,17,"dog_pos","dog_inhib","dog_pos","inhibition","control","distractor","target","R","dog_pos","Y","11/10/2015","13:10",1282,4.97,4,"F",100
"126","111015_1",1,2,22,"dog_neg","dog_neg","dog_pos","negation","negative","target","distractor","L","dog_neg","Y","11/10/2015","13:10",2252,4.97,4,"F",100
"127","111015_1",1,2,43,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","L","cat_inhib","N","11/10/2015","13:10",1802,4.97,4,"F",100
"128","111015_1",1,2,12,"bird_implic","bird_implic","bird_control","implicature","implicature","target","distractor","R","bird_control","N","11/10/2015","13:10",1525,4.97,4,"F",100
"129","111015_1",1,2,8,"lamp_neg","lamp_neg","lamp_pos","negation","negative","target","distractor","R","lamp_pos","N","11/10/2015","13:10",818.999999999997,4.97,4,"F",100
"130","111015_1",1,2,54,"banana_neg","banana_neg","banana_pos","negation","negative","target","distractor","R","banana_pos","N","11/10/2015","13:10",702.000000000001,4.97,4,"F",100
"131","111015_1",1,2,52,"apple_neg","apple_neg","apple_pos","negation","negative","target","distractor","R","apple_pos","N","11/10/2015","13:10",1626,4.97,4,"F",100
"132","111015_1",1,2,60,"lamp_pos","lamp_pos","lamp_inhib","inhibition","control","target","distractor","L","lamp_pos","Y","11/10/2015","13:10",1609,4.97,4,"F",100
"133","111015_1",1,2,15,"flower_implic","flower_implic","flower_control","implicature","implicature","target","distractor","L","flower_implic","Y","11/10/2015","13:10",1060,4.97,4,"F",100
"134","111015_1",1,2,50,"car_control","car_control","car_foil","implicature","unambiguous","target","distractor","L","car_control","Y","11/10/2015","13:10",793,4.97,4,"F",100
"135","111015_1",1,2,35,"flower_pos","flower_neg","flower_pos","negation","positive","distractor","target","R","flower_pos","Y","11/10/2015","13:10",1106,4.97,4,"F",100
"136","111015_1",1,2,51,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y","11/10/2015","13:10",1942,4.97,4,"F",100
"137","111015_1",1,2,32,"cup_neg","cup_pos","cup_neg","negation","negative","distractor","target","L","cup_pos","N","11/10/2015","13:10",791.000000000001,4.97,4,"F",100
"138","111015_1",1,2,53,"cookie_implic","cookie_implic","cookie_control","implicature","implicature","target","distractor","R","cookie_control","N","11/10/2015","13:10",802,4.97,4,"F",100
"139","111015_1",1,2,18,"dog_pos","dog_pos","dog_inhib","inhibition","control","target","distractor","L","dog_pos","Y","11/10/2015","13:10",1864,4.97,4,"F",100
"140","111015_1",1,2,19,"apple_control","apple_foil","apple_control","implicature","unambiguous","distractor","target","L","apple_foil","N","11/10/2015","13:10",1215,4.97,4,"F",100
"141","111015_1",1,2,25,"bird_control","bird_foil","bird_control","implicature","unambiguous","distractor","target","R","bird_control","Y","11/10/2015","13:10",2003,4.97,4,"F",100
"142","111015_1",1,2,13,"bicycle_control","bicycle_control","bicycle_foil","implicature","unambiguous","target","distractor","L","bicycle_control","Y","11/10/2015","13:10",1456,4.97,4,"F",100
"143","111015_1",1,2,23,"cup_control","cup_foil","cup_control","implicature","unambiguous","distractor","target","L","cup_foil","N","11/10/2015","13:10",4029,4.97,4,"F",100
"144","111015_1",1,2,3,"teddybear_neg","teddybear_pos","teddybear_neg","negation","negative","distractor","target","R","teddybear_neg","Y","11/10/2015","13:10",1992,4.97,4,"F",100
"145","111015_1",1,2,36,"bicycle_pos","bicycle_inhib","bicycle_pos","inhibition","control","distractor","target","R","bicycle_pos","Y","11/10/2015","13:10",2655,4.97,4,"F",100
"146","111015_1",1,2,33,"dog_neg","dog_neg","dog_pos","negation","negative","target","distractor","R","dog_pos","N","11/10/2015","13:10",1014,4.97,4,"F",100
"147","111015_1",1,2,36,"lamp_neg","lamp_neg","lamp_pos","negation","negative","target","distractor","L","lamp_neg","Y","11/10/2015","13:10",1564,4.97,4,"F",100
"148","111015_1",1,2,52,"flower_pos","flower_inhib","flower_pos","inhibition","control","distractor","target","R","flower_pos","Y","11/10/2015","13:10",1975,4.97,4,"F",100
"149","111015_1",1,2,49,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y","11/10/2015","13:10",1524,4.97,4,"F",100
"150","111015_1",1,2,31,"apple_neg","apple_pos","apple_neg","negation","negative","distractor","target","R","apple_neg","Y","11/10/2015","13:10",791.999999999998,4.97,4,"F",100
"151","111015_1",1,2,45,"cat_pos","cat_inhib","cat_pos","inhibition","control","distractor","target","L","cat_inhib","N","11/10/2015","13:10",1387,4.97,4,"F",100
"152","111015_1",1,2,54,"dog_control","dog_foil","dog_control","implicature","unambiguous","distractor","target","L","dog_foil","N","11/10/2015","13:10",1105,4.97,4,"F",100
"153","111015_1",1,2,55,"apple_implic","apple_implic","apple_control","implicature","implicature","target","distractor","R","apple_control","N","11/10/2015","13:10",637,4.97,4,"F",100
"154","111015_1",1,2,14,"dog_implic","dog_implic","dog_control","implicature","implicature","target","distractor","L","dog_implic","Y","11/10/2015","13:10",1602,4.97,4,"F",100
"155","111015_1",1,2,25,"teddybear_pos","teddybear_pos","teddybear_inhib","inhibition","control","target","distractor","L","teddybear_pos","Y","11/10/2015","13:10",1432,4.97,4,"F",100
"156","111015_1",1,2,4,"cookie_pos","cookie_neg","cookie_pos","negation","positive","distractor","target","L","cookie_neg","N","11/10/2015","13:10",1706,4.97,4,"F",100
"157","111015_1",1,2,11,"flower_control","flower_control","flower_foil","implicature","unambiguous","target","distractor","L","flower_control","Y","11/10/2015","13:10",2470,4.97,4,"F",100
"158","111015_1",1,2,16,"cat_pos","cat_pos","cat_neg","negation","positive","target","distractor","L","cat_pos","Y","11/10/2015","13:10",1593,4.97,4,"F",100
"159","111015_1",1,2,37,"teddybear_pos","teddybear_neg","teddybear_pos","negation","positive","distractor","target","R","teddybear_pos","Y","11/10/2015","13:10",1572,4.97,4,"F",100
"160","111015_1",1,2,55,"cookie_pos","cookie_pos","cookie_inhib","inhibition","control","target","distractor","L","cookie_pos","Y","11/10/2015","13:10",1389,4.97,4,"F",100
"161","111015_1",1,2,50,"flower_pos","flower_pos","flower_inhib","inhibition","control","target","distractor","L","flower_pos","Y","11/10/2015","13:10",1638,4.97,4,"F",100
"162","111015_1",1,2,47,"cat_inhib","cat_inhib","cat_pos","inhibition","inhib","target","distractor","L","cat_inhib","Y","11/10/2015","13:10",1861,4.97,4,"F",100
"163","111015_1",1,2,27,"cat_pos","cat_pos","cat_neg","negation","positive","target","distractor","R","cat_neg","N","11/10/2015","13:10",1037,4.97,4,"F",100
"164","111015_1",1,2,29,"teddybear_pos","teddybear_neg","teddybear_pos","negation","positive","distractor","target","R","teddybear_pos","Y","11/10/2015","13:10",992,4.97,4,"F",100
"165","111015_1",1,2,52,"banana_implic","banana_implic","banana_control","implicature","implicature","target","distractor","L","banana_implic","Y","11/10/2015","13:10",1525,4.97,4,"F",100
